,W,Psi,T
0,22.2222308,0.0361780,0.0268005
1,20.6757917,0.0189273,0.0161743
2,19.1434812,0.0139099,0.0121164
3,17.4692193,0.0113271,0.0098488
4,15.7817649,0.0096902,0.0083669
5,14.0577188,0.0085411,0.0073076
6,12.3455237,0.0076862,0.0065054
7,10.6787122,0.0070240,0.0058732
8,9.1321874,0.0064965,0.0053603
9,7.8269839,0.0060672,0.0049349
10,6.9584717,0.0057119,0.0045757
11,6.7537892,0.0054139,0.0042682
12,7.3152563,0.0051615,0.0040016
13,8.5239947,0.0049457,0.0037683
14,10.1676823,0.0047602,0.0035621
15,12.0711083,0.0045999,0.0033786
16,14.1163025,0.0044608,0.0032141
17,16.2226373,0.0043399,0.0030658
18,18.3293177,0.0042347,0.0029313
19,20.3858231,0.0041431,0.0028088
20,22.3477494,0.0040635,0.0026966
21,24.1757272,0.0039946,0.0025935
22,25.8359411,0.0039351,0.0024984
23,27.3012995,0.0038840,0.0024103
24,28.5525864,0.0038406,0.0023286
25,29.5791411,0.0038040,0.0022524
26,30.3788322,0.0037737,0.0021813
27,30.9573020,0.0037490,0.0021148
28,31.3266302,0.0037294,0.0020523
29,31.5036655,0.0037146,0.0019936
30,31.5082847,0.0037042,0.0019382
31,31.3617956,0.0036977,0.0018860
32,31.0856208,0.0036949,0.0018366
33,30.7003158,0.0036954,0.0017898
34,30.2249166,0.0036990,0.0017454
35,29.6765716,0.0037056,0.0017032
36,29.0703935,0.0037147,0.0016631
37,28.4194701,0.0037263,0.0016249
38,27.7349771,0.0037402,0.0015885
39,27.0263498,0.0037562,0.0015537
40,26.3014801,0.0037741,0.0015204
41,25.5669207,0.0037939,0.0014886
42,24.8280782,0.0038153,0.0014581
43,24.0893912,0.0038382,0.0014288
44,23.3544879,0.0038626,0.0014008
45,22.6263233,0.0038883,0.0013739
46,21.9072963,0.0039153,0.0013480
47,21.1993489,0.0039434,0.0013231
48,20.5040484,0.0039725,0.0012991
49,19.8226553,0.0040027,0.0012760
50,19.1561802,0.0040337,0.0012537
51,18.5054294,0.0040656,0.0012322
52,17.8710420,0.0040983,0.0012115
53,17.2535202,0.0041317,0.0011915
54,16.6532539,0.0041658,0.0011721
55,16.0705390,0.0042005,0.0011534
56,15.5055942,0.0042357,0.0011353
