,W,Psi,T
100,0.03253,0.01174,0.00270
101,0.03237,0.01164,0.00264
102,0.03223,0.01155,0.00260
103,0.03204,0.01146,0.00259
104,0.03188,0.01138,0.00259
105,0.03168,0.01130,0.00261
106,0.03151,0.01122,0.00264
107,0.03133,0.01115,0.00268
108,0.03118,0.01108,0.00272
109,0.03103,0.01101,0.00277
110,0.03090,0.01094,0.00282
111,0.03079,0.01087,0.00286
112,0.03071,0.01080,0.00291
113,0.03065,0.01074,0.00295
114,0.03062,0.01068,0.00299
115,0.03060,0.01063,0.00302
116,0.03062,0.01059,0.00304
117,0.03064,0.01055,0.00307
118,0.03067,0.01053,0.00308
119,0.03071,0.01052,0.00309
120,0.03075,0.01051,0.00310
121,0.03081,0.01052,0.00311
122,0.03085,0.01054,0.00311
123,0.03091,0.01056,0.00311
124,0.03096,0.01060,0.00312
125,0.03103,0.01063,0.00312
126,0.03110,0.01067,0.00312
127,0.03118,0.01071,0.00312
128,0.03127,0.01074,0.00313
129,0.03138,0.01076,0.00313
130,0.03151,0.01077,0.00313
131,0.03164,0.01076,0.00313
132,0.03178,0.01074,0.00313
133,0.03193,0.01070,0.00313
134,0.03207,0.01063,0.00312
135,0.03219,0.01055,0.00312
136,0.03228,0.01044,0.00312
137,0.03234,0.01030,0.00311
138,0.03236,0.01014,0.00311
139,0.03233,0.00995,0.00310
140,0.03224,0.00974,0.00309
141,0.03208,0.00950,0.00308
142,0.03185,0.00924,0.00307
143,0.03155,0.00896,0.00305
144,0.03118,0.00866,0.00303
145,0.03075,0.00833,0.00301
146,0.03024,0.00799,0.00298
147,0.02967,0.00764,0.00295
148,0.02905,0.00728,0.00291
149,0.02839,0.00691,0.00287
150,0.02768,0.00653,0.00283
151,0.02695,0.00617,0.00277
152,0.02621,0.00581,0.00272
153,0.02547,0.00546,0.00265
154,0.02473,0.00514,0.00258
155,0.02403,0.00485,0.00250
156,0.02338,0.00461,0.00241
157,0.02278,0.00441,0.00233
158,0.02226,0.00427,0.00223
159,0.02182,0.00419,0.00214
160,0.02148,0.00417,0.00205
161,0.02124,0.00421,0.00197
162,0.02109,0.00431,0.00189
163,0.02104,0.00445,0.00182
164,0.02105,0.00462,0.00176
165,0.02113,0.00482,0.00171
166,0.02125,0.00504,0.00168
167,0.02138,0.00526,0.00166
168,0.02151,0.00548,0.00165
169,0.02163,0.00571,0.00166
170,0.02172,0.00592,0.00167
171,0.02178,0.00612,0.00169
172,0.02179,0.00631,0.00172
173,0.02175,0.00648,0.00175
174,0.02167,0.00663,0.00179
175,0.02154,0.00676,0.00182
176,0.02138,0.00687,0.00186
177,0.02119,0.00697,0.00189
178,0.02097,0.00704,0.00192
179,0.02074,0.00709,0.00195
180,0.02049,0.00712,0.00197
181,0.02024,0.00712,0.00199
182,0.01999,0.00711,0.00201
183,0.01974,0.00708,0.00203
184,0.01949,0.00703,0.00204
185,0.01925,0.00695,0.00204
186,0.01902,0.00686,0.00205
187,0.01880,0.00675,0.00205
188,0.01858,0.00663,0.00205
189,0.01837,0.00648,0.00204
190,0.01816,0.00632,0.00203
191,0.01796,0.00615,0.00202
192,0.01776,0.00596,0.00200
193,0.01757,0.00576,0.00198
194,0.01739,0.00555,0.00195
195,0.01720,0.00533,0.00192
196,0.01703,0.00511,0.00189
197,0.01685,0.00488,0.00185
198,0.01668,0.00465,0.00180
199,0.01652,0.00443,0.00175
200,0.01635,0.00422,0.00170
201,0.01619,0.00402,0.00164
202,0.01602,0.00384,0.00158
203,0.01586,0.00368,0.00152
204,0.01569,0.00354,0.00146
205,0.01551,0.00344,0.00139
206,0.01533,0.00337,0.00133
207,0.01514,0.00334,0.00127
208,0.01494,0.00334,0.00121
209,0.01474,0.00338,0.00116
210,0.01452,0.00344,0.00112
211,0.01431,0.00353,0.00108
212,0.01409,0.00363,0.00106
213,0.01387,0.00375,0.00104
214,0.01365,0.00388,0.00103
215,0.01343,0.00401,0.00104
216,0.01322,0.00414,0.00105
217,0.01303,0.00427,0.00106
218,0.01285,0.00439,0.00108
219,0.01268,0.00451,0.00111
220,0.01254,0.00461,0.00114
221,0.01243,0.00471,0.00117
222,0.01234,0.00479,0.00120
223,0.01228,0.00486,0.00123
224,0.01224,0.00491,0.00126
225,0.01223,0.00496,0.00128
226,0.01225,0.00499,0.00131
227,0.01230,0.00500,0.00133
228,0.01236,0.00501,0.00135
229,0.01244,0.00500,0.00136
230,0.01253,0.00498,0.00138
231,0.01263,0.00494,0.00139
232,0.01274,0.00490,0.00139
233,0.01284,0.00484,0.00140
234,0.01294,0.00477,0.00140
235,0.01303,0.00469,0.00139
236,0.01310,0.00461,0.00139
237,0.01316,0.00451,0.00138
238,0.01320,0.00440,0.00137
239,0.01321,0.00429,0.00136
240,0.01321,0.00417,0.00134
241,0.01317,0.00404,0.00133
242,0.01311,0.00391,0.00131
243,0.01302,0.00377,0.00129
244,0.01291,0.00362,0.00127
245,0.01277,0.00347,0.00124
246,0.01261,0.00332,0.00122
247,0.01242,0.00317,0.00119
248,0.01221,0.00301,0.00117
249,0.01198,0.00286,0.00114
250,0.01173,0.00271,0.00111
251,0.01148,0.00256,0.00108
252,0.01121,0.00242,0.00105
253,0.01093,0.00229,0.00102
254,0.01065,0.00218,0.00099
255,0.01038,0.00207,0.00096
256,0.01011,0.00199,0.00093
257,0.00985,0.00192,0.00090
258,0.00960,0.00188,0.00087
259,0.00937,0.00187,0.00084
260,0.00916,0.00187,0.00081
261,0.00898,0.00190,0.00079
262,0.00881,0.00195,0.00076
263,0.00868,0.00201,0.00074
264,0.00857,0.00209,0.00073
265,0.00848,0.00217,0.00072
266,0.00842,0.00226,0.00071
267,0.00837,0.00236,0.00070
268,0.00835,0.00246,0.00070
269,0.00834,0.00255,0.00070
270,0.00834,0.00265,0.00071
271,0.00834,0.00274,0.00072
272,0.00836,0.00282,0.00073
273,0.00837,0.00290,0.00074
274,0.00839,0.00297,0.00076
275,0.00841,0.00303,0.00078
276,0.00842,0.00308,0.00079
277,0.00843,0.00312,0.00081
278,0.00843,0.00315,0.00082
279,0.00843,0.00317,0.00084
280,0.00843,0.00319,0.00085
281,0.00842,0.00319,0.00087
282,0.00840,0.00318,0.00088
283,0.00838,0.00316,0.00089
284,0.00835,0.00313,0.00089
285,0.00831,0.00309,0.00090
286,0.00827,0.00305,0.00091
287,0.00823,0.00299,0.00091
288,0.00818,0.00293,0.00091
289,0.00812,0.00285,0.00091
290,0.00806,0.00277,0.00090
291,0.00800,0.00269,0.00089
292,0.00793,0.00259,0.00089
293,0.00786,0.00250,0.00087
294,0.00779,0.00239,0.00086
295,0.00771,0.00229,0.00085
296,0.00762,0.00218,0.00083
297,0.00753,0.00207,0.00081
298,0.00744,0.00197,0.00079
299,0.00735,0.00186,0.00077
300,0.00725,0.00176,0.00075
301,0.00714,0.00167,0.00072
302,0.00704,0.00158,0.00070
303,0.00693,0.00151,0.00067
304,0.00681,0.00144,0.00065
305,0.00670,0.00139,0.00062
306,0.00658,0.00136,0.00060
307,0.00646,0.00134,0.00058
308,0.00634,0.00134,0.00055
309,0.00622,0.00135,0.00053
310,0.00610,0.00138,0.00052
311,0.00599,0.00141,0.00050
312,0.00588,0.00146,0.00049
313,0.00577,0.00151,0.00048
314,0.00567,0.00156,0.00047
315,0.00558,0.00162,0.00047
316,0.00549,0.00168,0.00047
317,0.00541,0.00173,0.00047
318,0.00535,0.00179,0.00047
319,0.00529,0.00184,0.00048
320,0.00525,0.00189,0.00049
321,0.00521,0.00193,0.00049
322,0.00519,0.00197,0.00050
323,0.00517,0.00200,0.00051
324,0.00517,0.00203,0.00052
325,0.00517,0.00205,0.00053
326,0.00518,0.00207,0.00054
327,0.00520,0.00207,0.00055
328,0.00522,0.00208,0.00056
329,0.00524,0.00207,0.00056
330,0.00526,0.00207,0.00057
331,0.00529,0.00205,0.00057
332,0.00531,0.00203,0.00058
333,0.00533,0.00201,0.00058
334,0.00534,0.00197,0.00058
335,0.00535,0.00194,0.00058
336,0.00535,0.00190,0.00058
337,0.00535,0.00186,0.00058
338,0.00534,0.00181,0.00058
339,0.00532,0.00176,0.00057
340,0.00529,0.00170,0.00057
341,0.00526,0.00164,0.00056
342,0.00522,0.00158,0.00055
343,0.00517,0.00152,0.00054
344,0.00511,0.00146,0.00053
345,0.00505,0.00140,0.00052
346,0.00498,0.00133,0.00051
347,0.00490,0.00127,0.00050
348,0.00482,0.00121,0.00049
349,0.00473,0.00115,0.00048
350,0.00464,0.00110,0.00046
351,0.00455,0.00105,0.00045
352,0.00446,0.00100,0.00044
353,0.00436,0.00096,0.00042
354,0.00427,0.00093,0.00041
355,0.00418,0.00090,0.00039
356,0.00409,0.00089,0.00038
357,0.00400,0.00088,0.00037
358,0.00392,0.00088,0.00036
359,0.00385,0.00088,0.00035
360,0.00378,0.00089,0.00034
361,0.00371,0.00091,0.00033
362,0.00366,0.00094,0.00032
363,0.00361,0.00096,0.00032
364,0.00356,0.00099,0.00031
365,0.00353,0.00102,0.00031
366,0.00349,0.00106,0.00031
367,0.00347,0.00109,0.00031
368,0.00345,0.00112,0.00031
369,0.00343,0.00115,0.00031
370,0.00342,0.00117,0.00031
371,0.00342,0.00120,0.00032
372,0.00341,0.00122,0.00032
373,0.00341,0.00124,0.00033
374,0.00341,0.00125,0.00033
375,0.00341,0.00127,0.00034
376,0.00341,0.00128,0.00034
377,0.00341,0.00128,0.00035
378,0.00341,0.00128,0.00035
379,0.00341,0.00128,0.00036
380,0.00341,0.00127,0.00036
381,0.00340,0.00127,0.00036
382,0.00340,0.00125,0.00036
383,0.00339,0.00124,0.00037
384,0.00338,0.00122,0.00037
385,0.00337,0.00120,0.00037
386,0.00336,0.00117,0.00037
387,0.00334,0.00114,0.00037
388,0.00332,0.00111,0.00036
389,0.00330,0.00108,0.00036
390,0.00327,0.00105,0.00036
391,0.00324,0.00101,0.00035
392,0.00321,0.00098,0.00035
393,0.00318,0.00094,0.00034
394,0.00314,0.00090,0.00034
395,0.00311,0.00087,0.00033
396,0.00307,0.00083,0.00032
397,0.00302,0.00080,0.00031
398,0.00298,0.00076,0.00031
399,0.00293,0.00073,0.00030
400,0.00288,0.00070,0.00029
401,0.00284,0.00068,0.00028
402,0.00279,0.00066,0.00027
403,0.00274,0.00064,0.00026
404,0.00269,0.00063,0.00026
405,0.00264,0.00062,0.00025
406,0.00259,0.00062,0.00024
407,0.00254,0.00062,0.00023
408,0.00250,0.00062,0.00023
409,0.00245,0.00063,0.00022
410,0.00241,0.00064,0.00022
411,0.00237,0.00066,0.00021
412,0.00234,0.00067,0.00021
413,0.00231,0.00069,0.00021
414,0.00228,0.00070,0.00021
415,0.00225,0.00072,0.00021
416,0.00223,0.00073,0.00021
417,0.00221,0.00075,0.00021
418,0.00220,0.00076,0.00021
419,0.00219,0.00077,0.00021
420,0.00218,0.00079,0.00021
421,0.00217,0.00079,0.00022
422,0.00217,0.00080,0.00022
423,0.00217,0.00081,0.00022
424,0.00217,0.00081,0.00022
425,0.00217,0.00081,0.00022
426,0.00217,0.00081,0.00023
427,0.00217,0.00081,0.00023
428,0.00218,0.00080,0.00023
429,0.00218,0.00080,0.00023
430,0.00218,0.00079,0.00023
431,0.00218,0.00078,0.00023
