,W,Psi
0,0.0,0.0
1,-0.16266745159379659,0.0
2,-0.3612491934551255,0.0
3,-0.6702491284784022,0.0
4,-0.6563218230898025,0.0
5,-0.7109644142109279,0.0
6,-0.6958901596164473,0.0
7,-0.2372073566644387,0.0
8,0.47424682806079754,0.0
9,0.8056030625135182,0.0
10,1.5069835689763291,0.0
11,2.424150497250171,0.0
12,3.091537862481532,0.0
13,4.357842325150596,0.0
14,5.908421127417268,0.0
15,7.590525502802976,0.0
16,8.13040164231991,0.0
17,8.833788472233692,0.0
18,9.43428687929767,0.0
19,9.649176619909099,0.0
20,9.551254075377358,0.0
21,9.24841876266117,0.0
22,8.52733909174007,0.0
23,6.776250444163306,0.0
24,5.075968136310603,0.0
25,3.2786342351478375,0.0
26,1.0896492749058693,0.0
27,-0.6452831705428818,0.0
28,-2.1922741631195386,0.0
29,-2.534143528375168,0.0
30,-3.8938446629030645,0.0
31,-3.9781634154612195,0.0
32,-4.0460672104416275,0.0
33,-3.443189953381612,0.0
34,-2.855312139931062,0.0
35,-2.113127868921257,0.0
36,-1.3314806870414153,0.0
37,-0.5452087410891433,0.0
38,-0.13157490613584474,0.0
39,0.0,0.0
40,-0.13619939250935803,0.0
41,-0.5435724844982257,0.0
42,-1.3275616945927446,0.0
43,-2.0649339313202972,0.0
44,-2.6992677345660914,0.0
45,-3.142190510372097,0.0
46,-3.2165899490701304,0.0
47,-3.5859590049109062,0.0
48,-3.764798569793556,0.0
49,-3.4231966871635953,0.0
50,-3.5560218888192154,0.0
51,-3.3330112747375282,0.0
52,-1.8516084038027487,0.0
53,-1.4661202290997655,0.0
54,0.4928103703558307,0.0
55,1.8108991346635266,0.0
56,5.9514673334936425,0.0
57,6.288427300946051,0.0
58,12.088359180547235,0.0
59,17.895213485302538,0.0
60,28.208950768319312,0.0
61,32.74540547246833,0.0
62,37.41854977794689,0.0
63,43.55675398996542,0.0
64,52.20561039649808,0.0
65,63.865253713931025,0.0
66,70.97022940693931,0.0
67,81.49907832800065,0.0
68,91.07168021517336,0.0
69,101.49134101133258,0.0
70,109.51116261293399,0.0
71,127.86712431593709,0.0
72,158.02119821726637,0.0
73,165.08557340020934,0.0
74,201.6325683728291,0.0
75,234.9205646466259,0.0
76,204.8197524357036,0.0
77,165.45642237869077,0.0
78,0.0,0.0
79,-243.40374870169265,0.0
80,-185.25654691803783,0.0
81,-94.98060617147357,0.0
82,-112.18363624242627,0.0
83,-89.871272965495,0.0
84,-77.25128916591127,0.0
85,-46.88479345917429,0.0
86,-72.9259461276911,0.0
87,-65.30568398008266,0.0
88,-50.543865096292876,0.0
89,-30.23998675596662,0.0
90,-42.62404363349073,0.0
91,-53.043737172847415,0.0
92,-46.61555186044319,0.0
93,-40.59906114235254,0.0
94,-48.82675159391562,0.0
95,-54.51280804069337,0.0
96,-31.477686936863822,0.0
97,-37.891692115927654,0.0
98,-61.833681648809076,0.0
99,-58.231652551150916,0.0
100,-58.16931370981732,0.0
101,-67.33045154867686,0.0
102,-55.39438975177235,0.0
103,-94.31556591896869,0.0
104,-95.60694723945517,0.0
105,-95.38814942492155,0.0
106,-119.88408213964064,0.0
107,-106.69027347344095,0.0
108,-138.81517633263599,0.0
109,-164.39245676037294,0.0
110,-178.33399569959687,0.0
111,-169.73671785374268,0.0
112,-218.31902260007877,0.0
113,-227.31478977040163,0.0
114,-283.5175327624489,0.0
115,-255.1221754176684,0.0
116,-316.56799042052126,0.0
117,0.0,0.0
118,52.330320975019085,0.0
119,38.976748847788684,0.0
120,21.490282492250245,0.0
121,12.21038642571102,0.0
122,7.754882225916081,0.0
123,7.133494354128806,0.0
124,7.739555221625115,0.0
125,8.841297353442343,0.0
126,9.11898568277837,0.0
127,10.661579651975286,0.0
128,12.64213426765037,0.0
129,15.98933257892515,0.0
130,18.123155719636486,0.0
131,19.180026220502143,0.0
132,21.29546577475176,0.0
133,22.929129040500527,0.0
134,24.72384795209144,0.0
135,26.053802649537054,0.0
136,26.094284137709693,0.0
137,26.198021167394927,0.0
138,25.732278822877312,0.0
139,25.135626828820143,0.0
140,22.815932020104917,0.0
141,19.58656381391621,0.0
142,18.642281326088295,0.0
143,15.47504125795456,0.0
144,12.645590663366406,0.0
145,9.7867470631126,0.0
146,7.007098676033502,0.0
147,4.7811228278348,0.0
148,2.7528417272011616,0.0
149,1.3059438059477146,0.0
150,0.21539426203159584,0.0
151,-0.41284259922611916,0.0
152,-0.6327110133040703,0.0
153,-0.5605307148863155,0.0
154,-0.3771048625445016,0.0
155,-0.16854465851483713,0.0
156,9.526766387579631,-0.0033696995130522507
157,8.707260161208922,-0.0003478053334470348
158,9.536869006122696,-0.001844109441853948
159,9.12279421046744,-0.002337310437991742
160,8.47322566973378,-0.00018576722685133723
161,9.106996199543426,-0.001732680036316299
162,4.242688622082742,-0.014681892147570062
163,4.594268878275642,-0.00925364946258507
164,4.242101449357952,-0.01019063681647715
165,3.959353182186609,-0.02492202909121101
166,4.7687640325895035,-0.016023093341608487
167,4.2377150840560205,-0.019175194708564297
168,10.95824764421322,-0.0003057346197249355
169,10.993068246163997,-0.0020848262467555133
170,10.02206641209942,-0.00021751128155975702
171,10.088865480981244,-0.0008637983083580968
172,10.600738870786746,-0.005649830195121949
173,3.624819815724979,-0.030354703978647115
174,4.568290872449806,-0.019628123893008664
175,9.099727374216883,-0.006066996476694937
176,10.208870500635202,-0.0009863392470460873
177,9.119449418146905,-0.004229786225211513
178,9.76274696073493,-0.0036427022855562204
179,0.44314012351865106,0.00011621421741402969
180,-0.09358756869834792,5.279079718780234e-05
181,0.26606232522241363,0.00012945598628325716
182,0.053661305392046464,4.806381842513844e-05
183,20.442701975406344,-0.001195841020827912
184,21.34925735244009,-0.0007487496967850131
185,15.026812496613967,-0.005507350917161472
186,19.379875466975406,-0.001459042820920714
187,12.367997709579353,-0.00046608112455317547
188,11.925942309981087,-0.0028185699398948125
189,13.730066827792491,-0.00042937477049019774
190,12.944106146925296,-0.003561550343608947
191,8.638085587046021,-0.007241122340642807
192,7.695510891340428,-0.008904308855640145
193,8.259322552999869,-0.00623842460489626
194,1.799619825919726,-0.012133755800858511
195,-14.652553404104466,-0.019493656246424393
196,-24.95928759961625,-0.024668723308576907
197,-92.24372893031006,-0.020829395268376384
198,0.45633532858045456,0.00017424140134170203
199,0.8250625638743021,0.00017778633846914218
200,1.3292671105817964,9.627929973413175e-05
201,1.526411734182527,-5.456272277762857e-05
202,0.17970266079800878,0.00011940727517956176
203,0.26516575099855544,0.00015004769270690908
204,14.418591395675554,-0.002024938940142027
205,9.17297172936846,-0.00034919620847179177
206,9.979642952835356,-0.002236710167935173
207,16.290838614759522,-0.0014830782028618812
208,16.017773260386186,-0.000729560457592274
209,15.614223786149985,-0.004065980614450737
210,14.171292462866866,-0.006270756302275733
211,17.99962404562592,-0.0010334342259009318
212,14.165834061771402,-0.0020939436606866083
213,-0.14873231773760212,1.2475663055395713e-05
214,-0.10729231260494115,4.59559705932896e-05
215,9.787605810339787,-0.0007847093977080549
216,7.017172283013659,-0.0036739038880741082
217,9.707242061111694,-0.0018473921057052009
218,8.481260561461653,-0.0005453709265613195
219,5.99573462844015,-0.002206114324433261
220,7.09026075682077,-0.002277357972596236
221,6.744675593925443,-0.00039861804904927956
222,4.7521078957054135,-0.0003978335371503996
223,18.599291332319844,-0.001417676758311139
224,20.1840817683932,-0.0009346539140534088
225,1.8366331757354057,-5.843680798535195e-05
226,2.5530178664148426,-0.00044888049694056717
