,W,Psi,T
0,1.42857,0.49660,0.00146
1,0.82718,0.83332,0.00138
2,0.58921,0.50375,0.00137
3,0.45609,0.36513,0.00136
4,0.37179,0.28459,0.00139
5,0.31408,0.23299,0.00147
6,0.27265,0.19659,0.00162
7,0.24169,0.16980,0.00182
8,0.21758,0.14908,0.00208
9,0.19829,0.13267,0.00240
10,0.18231,0.11928,0.00276
11,0.16888,0.10818,0.00317
12,0.15728,0.09879,0.00361
13,0.14721,0.09076,0.00407
14,0.13826,0.08379,0.00456
15,0.13032,0.07769,0.00507
16,0.12313,0.07229,0.00559
17,0.11662,0.06748,0.00611
18,0.11066,0.06316,0.00663
19,0.10520,0.05925,0.00714
20,0.10016,0.05569,0.00764
21,0.09550,0.05243,0.00812
22,0.09117,0.04942,0.00857
23,0.08716,0.04664,0.00899
24,0.08343,0.04405,0.00937
25,0.07998,0.04163,0.00971
26,0.07678,0.03936,0.01000
27,0.07383,0.03721,0.01024
28,0.07111,0.03519,0.01043
29,0.06861,0.03326,0.01057
30,0.06631,0.03142,0.01065
31,0.06420,0.02967,0.01069
32,0.06225,0.02799,0.01068
33,0.06046,0.02637,0.01063
34,0.05879,0.02481,0.01055
35,0.05723,0.02331,0.01043
36,0.05575,0.02186,0.01029
37,0.05434,0.02046,0.01013
38,0.05298,0.01910,0.00995
39,0.05165,0.01779,0.00977
40,0.05035,0.01652,0.00958
41,0.04908,0.01529,0.00939
42,0.04784,0.01410,0.00919
43,0.04664,0.01296,0.00899
44,0.04549,0.01186,0.00879
45,0.04441,0.01080,0.00859
46,0.04341,0.00980,0.00838
47,0.04252,0.00885,0.00817
48,0.04176,0.00795,0.00796
49,0.04114,0.00713,0.00773
50,0.04067,0.00638,0.00751
51,0.04036,0.00572,0.00727
52,0.04020,0.00518,0.00703
53,0.04019,0.00475,0.00679
54,0.04032,0.00448,0.00654
55,0.04056,0.00434,0.00630
56,0.04090,0.00436,0.00605
57,0.04131,0.00450,0.00581
58,0.04177,0.00474,0.00557
59,0.04226,0.00505,0.00535
60,0.04276,0.00540,0.00512
61,0.04325,0.00579,0.00491
62,0.04371,0.00619,0.00471
63,0.04414,0.00660,0.00452
64,0.04451,0.00701,0.00435
65,0.04483,0.00741,0.00419
66,0.04508,0.00780,0.00404
67,0.04528,0.00817,0.00391
68,0.04541,0.00854,0.00379
69,0.04549,0.00889,0.00368
70,0.04550,0.00923,0.00359
71,0.04546,0.00955,0.00351
72,0.04538,0.00985,0.00345
73,0.04524,0.01015,0.00339
74,0.04507,0.01042,0.00336
75,0.04486,0.01068,0.00333
76,0.04462,0.01093,0.00332
77,0.04436,0.01116,0.00332
78,0.04408,0.01138,0.00333
79,0.04378,0.01158,0.00335
80,0.04348,0.01176,0.00339
81,0.04317,0.01193,0.00344
82,0.04286,0.01208,0.00350
83,0.04257,0.01222,0.00357
84,0.04228,0.01234,0.00366
85,0.04202,0.01244,0.00375
86,0.04179,0.01253,0.00385
87,0.04159,0.01259,0.00396
88,0.04143,0.01265,0.00408
89,0.04131,0.01268,0.00421
90,0.04123,0.01270,0.00434
91,0.04119,0.01270,0.00448
92,0.04120,0.01268,0.00462
93,0.04123,0.01265,0.00476
94,0.04128,0.01260,0.00489
95,0.04134,0.01254,0.00503
96,0.04138,0.01246,0.00515
97,0.04139,0.01237,0.00527
98,0.04135,0.01226,0.00537
99,0.04124,0.01214,0.00545
100,0.04106,0.01200,0.00551
101,0.04079,0.01185,0.00555
102,0.04045,0.01168,0.00556
103,0.04004,0.01149,0.00554
104,0.03959,0.01128,0.00548
105,0.03911,0.01105,0.00539
106,0.03865,0.01080,0.00527
107,0.03823,0.01053,0.00511
108,0.03789,0.01025,0.00492
109,0.03763,0.00995,0.00470
110,0.03746,0.00964,0.00447
111,0.03738,0.00932,0.00422
112,0.03736,0.00900,0.00397
113,0.03736,0.00869,0.00372
114,0.03737,0.00840,0.00348
115,0.03733,0.00813,0.00325
116,0.03723,0.00789,0.00304
117,0.03705,0.00768,0.00284
118,0.03677,0.00751,0.00266
119,0.03639,0.00738,0.00251
120,0.03593,0.00729,0.00237
121,0.03539,0.00723,0.00226
122,0.03478,0.00721,0.00216
123,0.03413,0.00722,0.00209
124,0.03345,0.00725,0.00203
125,0.03275,0.00729,0.00199
126,0.03206,0.00736,0.00196
127,0.03137,0.00743,0.00195
128,0.03070,0.00751,0.00194
129,0.03005,0.00759,0.00195
130,0.02943,0.00766,0.00196
131,0.02883,0.00774,0.00198
132,0.02826,0.00781,0.00199
133,0.02771,0.00787,0.00201
134,0.02719,0.00792,0.00204
135,0.02668,0.00796,0.00206
136,0.02619,0.00799,0.00208
137,0.02571,0.00801,0.00210
138,0.02525,0.00801,0.00212
139,0.02479,0.00801,0.00214
140,0.02435,0.00799,0.00217
141,0.02391,0.00795,0.00219
142,0.02348,0.00791,0.00220
143,0.02305,0.00785,0.00222
144,0.02263,0.00778,0.00224
145,0.02222,0.00770,0.00225
146,0.02181,0.00761,0.00227
147,0.02141,0.00750,0.00228
148,0.02102,0.00739,0.00228
149,0.02063,0.00727,0.00229
150,0.02025,0.00714,0.00229
151,0.01988,0.00701,0.00229
152,0.01951,0.00687,0.00229
153,0.01916,0.00672,0.00228
154,0.01881,0.00657,0.00228
155,0.01848,0.00641,0.00226
156,0.01816,0.00625,0.00225
157,0.01784,0.00609,0.00223
158,0.01754,0.00593,0.00221
159,0.01726,0.00577,0.00218
160,0.01698,0.00560,0.00216
161,0.01672,0.00544,0.00213
162,0.01648,0.00528,0.00210
163,0.01625,0.00513,0.00206
164,0.01603,0.00498,0.00203
165,0.01582,0.00483,0.00199
166,0.01563,0.00469,0.00195
167,0.01546,0.00456,0.00191
168,0.01530,0.00443,0.00187
169,0.01515,0.00431,0.00183
170,0.01501,0.00421,0.00179
171,0.01489,0.00411,0.00175
172,0.01478,0.00402,0.00171
173,0.01468,0.00394,0.00167
174,0.01459,0.00388,0.00163
175,0.01451,0.00382,0.00159
176,0.01443,0.00378,0.00155
177,0.01437,0.00375,0.00152
178,0.01431,0.00373,0.00148
179,0.01425,0.00372,0.00145
180,0.01420,0.00373,0.00142
181,0.01415,0.00374,0.00139
182,0.01411,0.00376,0.00136
183,0.01406,0.00378,0.00133
184,0.01402,0.00382,0.00131
185,0.01398,0.00386,0.00129
186,0.01393,0.00390,0.00127
187,0.01389,0.00394,0.00126
188,0.01384,0.00399,0.00124
189,0.01379,0.00404,0.00123
190,0.01374,0.00409,0.00122
191,0.01369,0.00414,0.00121
192,0.01363,0.00419,0.00121
193,0.01357,0.00424,0.00120
194,0.01350,0.00428,0.00120
195,0.01343,0.00432,0.00120
196,0.01336,0.00436,0.00120
197,0.01328,0.00439,0.00120
198,0.01320,0.00442,0.00120
199,0.01311,0.00444,0.00120
200,0.01302,0.00446,0.00120
201,0.01293,0.00447,0.00120
202,0.01283,0.00448,0.00120
203,0.01273,0.00448,0.00120
204,0.01262,0.00448,0.00120
205,0.01251,0.00447,0.00120
206,0.01240,0.00445,0.00120
207,0.01228,0.00443,0.00121
208,0.01216,0.00440,0.00120
209,0.01204,0.00437,0.00120
210,0.01192,0.00433,0.00120
211,0.01179,0.00429,0.00120
212,0.01166,0.00424,0.00120
213,0.01154,0.00419,0.00120
214,0.01141,0.00413,0.00119
215,0.01128,0.00407,0.00119
216,0.01115,0.00400,0.00118
217,0.01102,0.00393,0.00118
218,0.01089,0.00386,0.00117
219,0.01076,0.00378,0.00116
220,0.01064,0.00371,0.00116
221,0.01051,0.00363,0.00115
222,0.01039,0.00355,0.00114
223,0.01026,0.00347,0.00113
224,0.01014,0.00339,0.00112
225,0.01002,0.00331,0.00112
226,0.00990,0.00324,0.00111
227,0.00979,0.00316,0.00110
228,0.00967,0.00309,0.00109
229,0.00956,0.00302,0.00108
230,0.00945,0.00295,0.00107
231,0.00933,0.00289,0.00106
232,0.00922,0.00283,0.00105
233,0.00912,0.00277,0.00104
234,0.00901,0.00272,0.00103
235,0.00890,0.00267,0.00102
