,W,Psi,T
0,20.0000056,0.0350530,0.0283553
1,18.3777287,0.0178082,0.0167431
2,16.9763723,0.0125307,0.0124833
3,15.3257533,0.0101528,0.0100657
4,13.9138733,0.0089046,0.0084816
5,12.5405825,0.0083069,0.0073548
6,11.4266083,0.0081127,0.0065084
7,10.5714706,0.0082012,0.0058473
8,10.0463215,0.0084856,0.0053156
9,9.8684810,0.0089085,0.0048779
10,9.9845806,0.0094280,0.0045110
11,10.3335370,0.0100151,0.0041987
12,10.8116650,0.0106491,0.0039294
13,11.3467300,0.0113157,0.0036948
14,11.8701750,0.0120042,0.0034884
15,12.3438011,0.0127069,0.0033053
16,12.7407539,0.0134180,0.0031417
17,13.0509173,0.0141330,0.0029946
18,13.2714689,0.0148481,0.0028616
19,13.4067880,0.0155602,0.0027406
20,13.4642572,0.0162666,0.0026301
21,13.4534371,0.0169650,0.0025287
22,13.3843077,0.0176530,0.0024353
23,13.2667455,0.0183286,0.0023489
24,13.1098954,0.0189898,0.0022689
25,12.9220044,0.0196346,0.0021943
26,12.7102749,0.0202614,0.0021248
27,12.4808992,0.0208682,0.0020598
28,12.2390953,0.0214534,0.0019988
29,11.9892096,0.0220154,0.0019414
30,11.7348084,0.0225527,0.0018874
31,11.4787885,0.0230639,0.0018365
32,11.2234661,0.0235478,0.0017883
33,10.9706729,0.0240034,0.0017427
34,10.7218305,0.0244295,0.0016994
35,10.4780201,0.0248256,0.0016582
36,10.2400422,0.0251909,0.0016191
37,10.0084671,0.0255252,0.0015818
38,9.7836769,0.0258283,0.0015463
39,9.5659023,0.0261000,0.0015123
40,9.3552523,0.0263407,0.0014798
41,9.1517404,0.0265508,0.0014488
42,8.9553042,0.0267306,0.0014190
43,8.7658231,0.0268810,0.0013904
44,8.5831320,0.0270028,0.0013630
45,8.4070329,0.0270970,0.0013366
46,8.2373048,0.0271646,0.0013113
47,8.0737108,0.0272069,0.0012869
48,7.9160051,0.0272250,0.0012633
49,7.7639375,0.0272202,0.0012407
50,7.6172572,0.0271940,0.0012188
51,7.4757164,0.0271475,0.0011977
52,7.3390722,0.0270823,0.0011773
53,7.2070886,0.0269996,0.0011576
54,7.0795379,0.0269008,0.0011385
55,6.9562014,0.0267872,0.0011200
56,6.8368700,0.0266600,0.0011021
57,6.7213450,0.0265205,0.0010848
58,6.6094375,0.0263699,0.0010680
59,6.5009690,0.0262092,0.0010517
60,6.3957710,0.0260395,0.0010359
61,6.2936849,0.0258618,0.0010205
62,6.1945615,0.0256770,0.0010055
63,6.0982607,0.0254861,0.0009910
64,6.0046512,0.0252899,0.0009769
65,5.9136098,0.0250890,0.0009632
66,5.8250212,0.0248843,0.0009498
67,5.7387774,0.0246764,0.0009367
68,5.6547776,0.0244658,0.0009241
69,5.5729271,0.0242532,0.0009117
70,5.4931376,0.0240390,0.0008996
71,5.4153264,0.0238237,0.0008879
72,5.3394159,0.0236077,0.0008764
73,5.2653336,0.0233914,0.0008652
74,5.1930115,0.0231751,0.0008542
75,5.1223856,0.0229592,0.0008435
76,5.0533962,0.0227440,0.0008331
77,4.9859867,0.0225296,0.0008229
78,4.9201041,0.0223163,0.0008129
79,4.8556985,0.0221043,0.0008032
80,4.7927227,0.0218937,0.0007936
81,4.7311321,0.0216848,0.0007843
82,4.6708844,0.0214777,0.0007751
83,4.6119398,0.0212725,0.0007661
84,4.5542602,0.0210693,0.0007574
85,4.4978095,0.0208681,0.0007488
86,4.4425533,0.0206691,0.0007403
87,4.3884588,0.0204723,0.0007321
88,4.3354947,0.0202778,0.0007240
89,4.2836310,0.0200856,0.0007160
90,4.2328389,0.0198958,0.0007082
91,4.1830909,0.0197083,0.0007006
92,4.1343604,0.0195233,0.0006931
93,4.0866218,0.0193406,0.0006857
94,4.0398505,0.0191604,0.0006785
95,3.9940228,0.0189826,0.0006714
96,3.9491157,0.0188072,0.0006644
97,3.9051068,0.0186343,0.0006576
98,3.8619748,0.0184637,0.0006508
99,3.8196986,0.0182955,0.0006442
100,3.7782581,0.0181297,0.0006377
101,3.7376335,0.0179663,0.0006313
102,3.6978056,0.0178052,0.0006250
