,W,Psi,T
187,0.01541,0.00510,0.00172
188,0.01488,0.00478,0.00168
189,0.01440,0.00446,0.00163
190,0.01395,0.00412,0.00158
191,0.01355,0.00378,0.00152
192,0.01320,0.00345,0.00146
193,0.01291,0.00311,0.00140
194,0.01268,0.00279,0.00133
195,0.01250,0.00249,0.00127
196,0.01238,0.00222,0.00120
197,0.01232,0.00199,0.00114
198,0.01231,0.00182,0.00108
199,0.01235,0.00172,0.00102
200,0.01243,0.00171,0.00097
201,0.01254,0.00177,0.00093
202,0.01268,0.00190,0.00089
203,0.01284,0.00207,0.00086
204,0.01301,0.00227,0.00084
205,0.01318,0.00249,0.00083
206,0.01334,0.00271,0.00083
207,0.01350,0.00293,0.00083
208,0.01364,0.00315,0.00084
209,0.01376,0.00335,0.00086
210,0.01386,0.00354,0.00088
211,0.01393,0.00371,0.00091
212,0.01397,0.00387,0.00094
213,0.01398,0.00400,0.00096
214,0.01395,0.00411,0.00099
215,0.01389,0.00420,0.00101
216,0.01380,0.00427,0.00104
217,0.01367,0.00431,0.00106
218,0.01351,0.00433,0.00107
219,0.01332,0.00432,0.00109
220,0.01311,0.00429,0.00110
221,0.01287,0.00424,0.00110
222,0.01260,0.00416,0.00110
223,0.01233,0.00407,0.00110
224,0.01204,0.00395,0.00109
225,0.01174,0.00381,0.00108
226,0.01144,0.00365,0.00106
227,0.01114,0.00348,0.00104
228,0.01086,0.00329,0.00102
229,0.01058,0.00309,0.00099
230,0.01033,0.00288,0.00096
231,0.01010,0.00266,0.00093
232,0.00989,0.00244,0.00089
233,0.00972,0.00222,0.00085
234,0.00957,0.00201,0.00081
235,0.00946,0.00181,0.00077
236,0.00938,0.00163,0.00073
237,0.00932,0.00148,0.00069
238,0.00929,0.00138,0.00065
239,0.00929,0.00133,0.00062
240,0.00930,0.00133,0.00059
241,0.00932,0.00138,0.00056
242,0.00936,0.00147,0.00054
243,0.00939,0.00159,0.00052
244,0.00943,0.00173,0.00051
245,0.00946,0.00187,0.00051
246,0.00948,0.00201,0.00051
247,0.00948,0.00215,0.00052
248,0.00948,0.00228,0.00054
249,0.00946,0.00240,0.00055
250,0.00942,0.00251,0.00057
251,0.00936,0.00260,0.00059
252,0.00928,0.00268,0.00061
253,0.00919,0.00274,0.00063
254,0.00907,0.00279,0.00065
255,0.00894,0.00282,0.00067
256,0.00879,0.00283,0.00069
257,0.00862,0.00283,0.00070
258,0.00844,0.00281,0.00071
259,0.00824,0.00278,0.00072
260,0.00804,0.00273,0.00073
261,0.00783,0.00267,0.00073
262,0.00761,0.00259,0.00073
263,0.00739,0.00251,0.00073
264,0.00717,0.00241,0.00072
265,0.00695,0.00231,0.00071
266,0.00674,0.00219,0.00070
267,0.00653,0.00207,0.00068
268,0.00634,0.00194,0.00067
269,0.00616,0.00181,0.00065
270,0.00600,0.00168,0.00063
271,0.00586,0.00154,0.00060
272,0.00574,0.00141,0.00058
273,0.00564,0.00128,0.00055
274,0.00556,0.00116,0.00053
275,0.00551,0.00105,0.00050
276,0.00547,0.00095,0.00048
277,0.00546,0.00088,0.00045
278,0.00546,0.00083,0.00043
279,0.00548,0.00082,0.00041
280,0.00551,0.00083,0.00039
281,0.00555,0.00087,0.00038
282,0.00559,0.00093,0.00036
283,0.00564,0.00100,0.00036
284,0.00569,0.00108,0.00035
285,0.00574,0.00117,0.00035
286,0.00578,0.00125,0.00035
287,0.00582,0.00134,0.00035
288,0.00584,0.00142,0.00036
289,0.00586,0.00149,0.00037
290,0.00587,0.00156,0.00038
291,0.00586,0.00162,0.00039
292,0.00584,0.00167,0.00040
293,0.00581,0.00171,0.00041
294,0.00577,0.00174,0.00042
295,0.00571,0.00177,0.00043
296,0.00564,0.00178,0.00044
297,0.00556,0.00178,0.00045
298,0.00547,0.00178,0.00045
299,0.00537,0.00176,0.00046
300,0.00526,0.00174,0.00046
301,0.00514,0.00171,0.00046
302,0.00502,0.00167,0.00046
303,0.00490,0.00162,0.00045
304,0.00477,0.00156,0.00045
305,0.00464,0.00150,0.00044
306,0.00452,0.00143,0.00043
307,0.00440,0.00135,0.00043
308,0.00429,0.00127,0.00041
309,0.00418,0.00119,0.00040
310,0.00409,0.00110,0.00039
311,0.00400,0.00102,0.00037
312,0.00393,0.00093,0.00036
313,0.00387,0.00085,0.00034
314,0.00382,0.00077,0.00033
315,0.00379,0.00070,0.00031
316,0.00377,0.00065,0.00030
317,0.00375,0.00060,0.00028
318,0.00375,0.00058,0.00027
319,0.00375,0.00057,0.00026
320,0.00376,0.00058,0.00024
321,0.00378,0.00061,0.00023
322,0.00380,0.00065,0.00023
323,0.00381,0.00070,0.00022
324,0.00383,0.00075,0.00022
325,0.00384,0.00081,0.00022
326,0.00385,0.00086,0.00022
327,0.00385,0.00091,0.00023
328,0.00385,0.00096,0.00023
329,0.00384,0.00100,0.00024
330,0.00383,0.00104,0.00025
331,0.00380,0.00108,0.00025
332,0.00377,0.00110,0.00026
333,0.00373,0.00112,0.00027
334,0.00369,0.00114,0.00028
335,0.00363,0.00115,0.00028
336,0.00357,0.00115,0.00029
337,0.00351,0.00115,0.00029
338,0.00344,0.00114,0.00029
339,0.00336,0.00112,0.00030
340,0.00328,0.00110,0.00030
341,0.00320,0.00108,0.00030
342,0.00311,0.00104,0.00030
343,0.00303,0.00101,0.00029
344,0.00294,0.00097,0.00029
345,0.00286,0.00093,0.00029
346,0.00278,0.00088,0.00028
347,0.00270,0.00083,0.00027
348,0.00263,0.00078,0.00027
349,0.00257,0.00072,0.00026
350,0.00251,0.00067,0.00025
351,0.00246,0.00062,0.00024
352,0.00242,0.00056,0.00023
353,0.00238,0.00051,0.00022
354,0.00236,0.00047,0.00021
355,0.00234,0.00043,0.00020
356,0.00233,0.00040,0.00019
357,0.00233,0.00037,0.00018
358,0.00233,0.00036,0.00017
359,0.00233,0.00036,0.00017
360,0.00235,0.00037,0.00016
361,0.00236,0.00039,0.00015
362,0.00237,0.00042,0.00015
363,0.00239,0.00045,0.00015
364,0.00240,0.00048,0.00015
365,0.00241,0.00052,0.00015
366,0.00242,0.00055,0.00015
367,0.00243,0.00058,0.00015
368,0.00243,0.00061,0.00015
369,0.00243,0.00064,0.00016
