,W,Psi,T
80,0.02954,0.00827,0.00246
81,0.02938,0.00846,0.00243
82,0.02919,0.00862,0.00239
83,0.02897,0.00877,0.00236
84,0.02871,0.00891,0.00232
85,0.02843,0.00902,0.00229
86,0.02813,0.00912,0.00226
87,0.02779,0.00920,0.00223
88,0.02744,0.00927,0.00220
89,0.02706,0.00931,0.00217
90,0.02666,0.00934,0.00215
91,0.02625,0.00935,0.00212
92,0.02581,0.00934,0.00210
93,0.02536,0.00932,0.00207
94,0.02490,0.00927,0.00205
95,0.02443,0.00921,0.00202
96,0.02395,0.00913,0.00200
97,0.02346,0.00903,0.00198
98,0.02297,0.00891,0.00195
99,0.02248,0.00878,0.00193
100,0.02199,0.00863,0.00190
101,0.02150,0.00846,0.00187
102,0.02101,0.00827,0.00184
103,0.02053,0.00807,0.00181
104,0.02006,0.00786,0.00178
105,0.01959,0.00763,0.00175
106,0.01914,0.00738,0.00171
107,0.01870,0.00713,0.00168
108,0.01827,0.00686,0.00164
109,0.01786,0.00658,0.00160
110,0.01746,0.00630,0.00155
111,0.01707,0.00600,0.00151
112,0.01670,0.00570,0.00146
113,0.01634,0.00540,0.00142
114,0.01600,0.00509,0.00137
115,0.01567,0.00478,0.00132
116,0.01536,0.00448,0.00127
117,0.01506,0.00418,0.00123
118,0.01477,0.00388,0.00118
119,0.01449,0.00359,0.00113
120,0.01423,0.00332,0.00108
121,0.01397,0.00307,0.00104
122,0.01373,0.00284,0.00099
123,0.01349,0.00263,0.00095
124,0.01327,0.00246,0.00091
125,0.01305,0.00233,0.00088
126,0.01284,0.00223,0.00085
127,0.01263,0.00218,0.00082
128,0.01243,0.00218,0.00080
129,0.01224,0.00220,0.00079
130,0.01206,0.00227,0.00078
131,0.01188,0.00235,0.00077
132,0.01171,0.00246,0.00077
133,0.01154,0.00257,0.00077
134,0.01138,0.00269,0.00078
135,0.01122,0.00282,0.00079
136,0.01106,0.00294,0.00080
137,0.01092,0.00306,0.00082
138,0.01077,0.00317,0.00084
139,0.01063,0.00328,0.00085
140,0.01049,0.00337,0.00087
141,0.01036,0.00346,0.00089
142,0.01023,0.00354,0.00091
143,0.01010,0.00360,0.00092
144,0.00997,0.00365,0.00094
145,0.00985,0.00370,0.00095
146,0.00972,0.00373,0.00096
147,0.00960,0.00375,0.00097
148,0.00948,0.00376,0.00098
149,0.00935,0.00376,0.00099
150,0.00923,0.00375,0.00099
151,0.00910,0.00373,0.00099
152,0.00898,0.00370,0.00099
153,0.00885,0.00367,0.00099
154,0.00872,0.00362,0.00098
155,0.00859,0.00356,0.00098
156,0.00846,0.00350,0.00097
157,0.00832,0.00343,0.00096
158,0.00818,0.00336,0.00095
159,0.00804,0.00328,0.00093
160,0.00790,0.00319,0.00092
161,0.00775,0.00310,0.00090
162,0.00761,0.00300,0.00088
163,0.00746,0.00290,0.00086
164,0.00731,0.00280,0.00084
165,0.00716,0.00269,0.00082
166,0.00701,0.00258,0.00080
167,0.00685,0.00247,0.00078
168,0.00670,0.00236,0.00076
169,0.00655,0.00224,0.00073
170,0.00640,0.00213,0.00071
171,0.00625,0.00201,0.00068
172,0.00610,0.00190,0.00066
173,0.00596,0.00178,0.00064
174,0.00582,0.00167,0.00061
175,0.00568,0.00156,0.00059
176,0.00555,0.00145,0.00057
177,0.00542,0.00135,0.00055
178,0.00530,0.00125,0.00053
179,0.00519,0.00116,0.00051
180,0.00508,0.00107,0.00049
181,0.00498,0.00099,0.00047
182,0.00488,0.00092,0.00045
183,0.00480,0.00086,0.00044
184,0.00472,0.00081,0.00042
185,0.00464,0.00078,0.00041
186,0.00458,0.00076,0.00040
187,0.00452,0.00076,0.00038
188,0.00447,0.00077,0.00038
189,0.00443,0.00079,0.00037
190,0.00439,0.00082,0.00036
191,0.00436,0.00085,0.00036
192,0.00433,0.00090,0.00035
193,0.00430,0.00094,0.00035
194,0.00428,0.00099,0.00035
195,0.00426,0.00103,0.00035
196,0.00425,0.00108,0.00035
197,0.00423,0.00113,0.00035
198,0.00422,0.00117,0.00035
199,0.00420,0.00121,0.00035
200,0.00419,0.00125,0.00036
201,0.00417,0.00129,0.00036
202,0.00415,0.00132,0.00036
203,0.00413,0.00135,0.00036
204,0.00411,0.00138,0.00037
205,0.00408,0.00140,0.00037
206,0.00406,0.00142,0.00037
207,0.00403,0.00143,0.00037
208,0.00399,0.00144,0.00037
209,0.00396,0.00145,0.00037
210,0.00392,0.00145,0.00037
211,0.00388,0.00145,0.00037
212,0.00383,0.00145,0.00037
213,0.00378,0.00144,0.00037
214,0.00373,0.00143,0.00037
215,0.00368,0.00142,0.00036
216,0.00362,0.00140,0.00036
217,0.00356,0.00138,0.00036
218,0.00350,0.00136,0.00035
219,0.00344,0.00133,0.00035
220,0.00337,0.00130,0.00034
221,0.00330,0.00127,0.00034
222,0.00324,0.00124,0.00033
223,0.00317,0.00120,0.00033
224,0.00310,0.00116,0.00032
225,0.00303,0.00112,0.00031
226,0.00296,0.00108,0.00030
227,0.00289,0.00104,0.00030
228,0.00282,0.00099,0.00029
229,0.00276,0.00095,0.00028
230,0.00269,0.00090,0.00027
231,0.00262,0.00085,0.00026
232,0.00256,0.00081,0.00025
233,0.00250,0.00076,0.00024
234,0.00244,0.00071,0.00024
235,0.00238,0.00067,0.00023
236,0.00233,0.00062,0.00022
237,0.00227,0.00057,0.00021
238,0.00222,0.00053,0.00020
239,0.00218,0.00049,0.00019
240,0.00213,0.00045,0.00018
241,0.00209,0.00042,0.00018
242,0.00205,0.00038,0.00017
243,0.00202,0.00036,0.00016
244,0.00198,0.00034,0.00016
245,0.00195,0.00032,0.00015
246,0.00192,0.00031,0.00015
