,Fi
202,0.01537
203,0.02036
204,0.01208
205,0.01222
206,-0.00333
207,-0.00345
208,-0.00465
209,-0.00247
210,-0.00230
211,-0.00375
212,-0.00156
213,-0.02160
214,-0.01982
215,-0.01658
216,-0.01621
217,-0.01883
218,0.00370
219,0.00280
220,0.00503
221,0.00294
222,0.00503
223,-0.01325
224,-0.01144
225,0.01846
226,0.01490
227,0.01263
228,0.01547
229,-0.00176
230,-0.00284
231,-0.00359
232,-0.00010
233,0.00007
234,0.00021
235,0.00037
236,0.00866
237,-0.00197
238,-0.00146
239,-0.00362
240,-0.00243
241,-0.00013
242,-0.00037
243,0.00998
244,0.01019
245,0.01400
246,0.00050
247,0.00001
248,0.00001
249,0.00022
250,0.00039
251,0.00050
252,0.01036
253,0.01529
254,0.01300
255,0.04648
256,0.04050
257,0.03644
258,0.04544
259,0.05740
260,-0.01190
261,-0.01300
262,-0.01591
263,-0.01603
264,-0.01064
265,0.01911
266,0.02331
267,0.02642
268,0.02057
269,0.02956
270,-0.03396
271,-0.03971
272,-0.04356
273,-0.05501
274,-0.05363
275,-0.00178
276,-0.00117
277,-0.00093
278,-0.00127
279,-0.00149
280,-0.00216
281,-0.04857
282,-0.06105
283,-0.06059
284,-0.04488
285,-0.00650
286,-0.00902
287,-0.00731
288,-0.00511
289,-0.00433
290,-0.02874
291,-0.02524
292,-0.02181
293,-0.02627
294,-0.03792
295,0.00361
296,0.00243
297,0.00323
298,0.00474
299,0.00548
300,0.02294
301,0.03136
302,0.02912
303,0.02096
304,0.01639
305,0.00588
306,0.00629
307,0.00409
308,0.00548
309,0.00972
310,0.01009
311,0.00669
312,0.00605
313,0.00911
314,0.00084
315,0.00055
316,0.00095
317,0.00142
318,0.00114
319,0.00799
320,0.00903
321,0.00647
322,0.00515
323,0.00687
324,0.01505
325,0.03406
326,0.02901
327,0.04180
328,0.03259
329,0.04229
330,-0.02713
331,0.01530
332,0.02074
333,0.02175
334,-0.04089
335,-0.04315
336,-0.03316
337,-0.05345
338,-0.03467
339,-0.02486
340,-0.02558
341,-0.03319
342,-0.02123
343,-0.02353
344,-0.03119
345,-0.03397
346,-0.02612
347,0.01476
348,0.01600
349,0.01113
350,0.00789
351,0.01178
352,0.00459
353,0.00675
354,0.00844
355,-0.00432
356,-0.00753
357,-0.00556
358,-0.00613
359,-0.01346
360,-0.01055
361,-0.00937
362,-0.00730
363,0.00191
364,0.00151
365,0.00107
366,0.00054
367,-0.00433
368,-0.00646
369,-0.00506
370,-0.00287
371,-0.00203
372,-0.00219
373,-0.00134
374,-0.00158
375,-0.00079
376,-0.00071
377,-0.00165
378,-0.00756
379,-0.00418
380,-0.00559
381,-0.00587
382,-0.00015
383,0.00683
384,0.00691
385,0.00268
386,0.00278
387,0.00444
388,-0.01989
389,-0.01463
390,-0.01584
391,-0.00199
392,-0.00116
393,-0.00922
394,0.01173
395,-0.03873
396,-0.02720
397,-0.00018
398,-0.00017
399,-0.00008
400,-0.00009
401,-0.00015
402,-0.01920
403,-0.02507
404,-0.02656
405,0.00136
406,-0.00000
407,-0.00000
408,-0.00002
409,-0.00140
410,-0.00007
411,-0.00280
412,-0.00394
413,-0.00239
414,-0.00000
415,-0.00000
416,-0.00028
417,-0.00065
418,-0.00045
419,-0.00001
420,-0.00001
421,-0.00021
422,-0.00010
423,-0.00037
424,-0.00036
425,-0.00018
426,-0.00029
427,-0.00043
428,-0.00026
429,-0.04676
430,-0.05727
431,-0.05824
432,-0.04137
433,-0.03641
434,0.00289
435,0.00188
436,0.00167
437,0.00239
438,0.00424
439,0.00598
440,0.00625
441,0.00458
442,0.02836
443,0.03902
444,0.03020
445,0.02111
446,-0.00353
447,-0.00251
448,-0.00275
449,-0.00440
450,-0.00479
451,0.02502
452,0.03390
453,0.02626
454,0.03338
455,0.02259
456,0.00068
457,0.00102
458,0.00111
459,0.00073
460,0.00046
461,-0.02103
462,-0.03121
463,-0.01602
464,-0.01506
465,0.00465
466,0.00645
467,0.00411
468,0.00250
469,0.00288
470,-0.01663
471,-0.02325
472,-0.01535
473,-0.01071
474,-0.01287
475,0.00494
476,0.00374
477,0.00536
478,0.00755
479,0.00638
480,0.00967
481,0.01476
482,0.01267
483,0.00899
484,0.00612
485,-0.01721
486,-0.01328
487,-0.01164
488,-0.01518
489,-0.02209
490,-0.00892
491,-0.01390
492,-0.01077
493,-0.00526
494,-0.00359
495,-0.00372
496,-0.00575
497,-0.00756
498,0.00480
499,0.00322
500,0.00332
501,0.00481
502,0.00676
503,0.00547
504,0.00736
505,0.00492
506,0.00380
507,-0.00072
508,-0.00070
509,-0.00092
510,-0.01616
511,-0.01784
512,-0.01233
513,-0.01145
514,-0.00558
515,-0.00674
516,-0.00512
517,0.00245
518,0.00269
519,0.00358
520,0.00294
521,0.00222
522,0.00269
523,-0.00791
524,-0.00640
525,-0.00529
526,-0.00666
527,-0.00995
528,-0.00215
529,-0.00171
530,-0.00285
531,-0.01101
532,-0.01466
533,-0.01528
534,-0.01201
535,-0.00828
536,-0.00649
537,-0.00970
538,-0.00888
539,-0.00609
540,0.01649
541,0.02178
542,0.01485
543,0.01156
544,0.01271
545,0.00849
546,0.00696
547,0.01106
548,-0.00458
549,-0.00548
550,-0.00711
551,-0.00539
552,0.02869
553,0.02605
554,0.03372
555,0.03341
556,0.04319
557,0.00074
558,0.00123
559,0.00114
560,0.00076
561,0.00047
562,0.00346
563,0.00215
564,0.00273
565,-0.03935
566,-0.05541
567,-0.04393
568,-0.05670
569,-0.04278
570,-0.00740
571,-0.00239
572,-0.00507
573,-0.03986
574,-0.03143
575,-0.03934
576,-0.01144
577,-0.01689
