,H,Mu
266,0.00041,1.00123
267,0.00061,1.00184
268,0.00076,1.00226
269,0.00060,1.00180
270,0.00040,1.00121
271,0.00060,1.00180
272,0.00064,1.00191
273,0.00075,1.00224
274,0.00057,1.00169
275,0.00064,1.00193
276,0.00073,1.00220
277,0.00079,1.00235
278,0.00062,1.00186
279,0.00071,1.00212
280,0.00059,1.00176
281,0.00056,1.00169
282,0.00076,1.00228
283,0.00089,1.00267
284,0.00071,1.00213
285,0.00084,1.00252
286,0.00120,1.00359
287,0.00076,1.00226
288,0.00086,1.00256
289,0.00107,1.00319
290,0.00069,1.00207
291,0.00094,1.00282
292,0.00072,1.00215
293,0.00116,1.00346
294,0.00076,1.00228
295,0.00081,1.00243
296,0.00101,1.00302
297,0.00078,1.00233
298,0.00055,1.00165
299,0.00114,1.00342
300,0.00212,1.00631
301,0.00139,1.00415
302,0.00108,1.00323
303,0.00047,1.00139
304,0.00148,1.00443
305,0.00102,1.00304
306,0.00136,1.00407
307,0.00374,1.01108
308,0.00290,1.00864
309,0.03299,1.09005
310,0.03298,1.09004
311,0.00155,1.00463
312,0.00105,1.00315
313,0.00284,1.00845
314,0.00074,1.00223
315,0.00117,1.00349
316,0.00344,1.01023
317,0.00302,1.00899
318,0.00198,1.00590
319,0.00151,1.00452
320,0.02881,1.07955
321,0.00139,1.00417
322,0.00116,1.00345
323,0.00141,1.00421
324,0.00216,1.00644
325,0.00182,1.00542
326,0.02494,1.06960
327,0.02192,1.06170
328,0.02265,1.06362
329,0.03036,1.08347
330,0.00493,1.01458
331,0.00531,1.01568
332,0.00304,1.00904
333,0.00332,1.00988
334,0.00211,1.00628
335,0.00142,1.00425
336,0.02936,1.08096
337,0.00127,1.00381
338,0.00162,1.00484
339,0.00171,1.00510
340,0.00167,1.00500
341,0.00346,1.01029
342,0.00342,1.01014
343,0.00474,1.01401
344,0.01737,1.04952
345,0.01668,1.04764
346,0.01173,1.03400
347,0.01468,1.04219
348,0.00517,1.01527
349,0.00636,1.01871
350,0.00529,1.01563
351,0.00539,1.01591
352,0.00504,1.01490
353,0.00541,1.01596
354,0.01230,1.03558
355,0.00291,1.00865
356,0.00225,1.00670
357,0.03362,1.09161
358,0.03512,1.09533
359,0.00282,1.00840
360,0.00143,1.00427
361,0.00171,1.00510
362,0.00582,1.01716
363,0.00534,1.01576
364,0.00247,1.00736
365,0.00247,1.00734
366,0.01075,1.03125
367,0.01072,1.03115
368,0.00120,1.00359
369,0.00185,1.00553
370,0.00123,1.00367
371,0.00151,1.00451
372,0.00313,1.00931
373,0.00202,1.00604
374,0.00369,1.01095
375,0.00403,1.01195
376,0.03074,1.08444
377,0.02545,1.07092
378,0.00139,1.00414
379,0.00065,1.00195
380,0.00392,1.01163
381,0.00469,1.01388
382,0.00646,1.01902
383,0.00461,1.01364
384,0.00241,1.00717
385,0.00262,1.00781
386,0.00132,1.00394
387,0.00162,1.00483
388,0.00261,1.00776
389,0.00480,1.01420
390,0.00489,1.01447
391,0.00460,1.01360
392,0.02840,1.07850
393,0.02864,1.07913
394,0.00285,1.00849
395,0.00205,1.00610
396,0.00280,1.00834
397,0.00316,1.00940
398,0.00600,1.01768
399,0.00195,1.00580
400,0.00251,1.00746
401,0.00427,1.01264
402,0.00365,1.01082
403,0.00098,1.00294
404,0.00287,1.00853
405,0.00271,1.00806
406,0.03613,1.09780
407,0.03661,1.09896
408,0.00317,1.00943
409,0.00351,1.01043
410,0.00177,1.00529
411,0.00216,1.00645
412,0.01148,1.03329
413,0.01479,1.04248
414,0.00080,1.00239
415,0.00163,1.00488
416,0.02160,1.06086
417,0.01829,1.05202
418,0.01440,1.04141
419,0.03806,1.10247
420,0.03543,1.09607
421,0.00663,1.01951
422,0.00595,1.01755
423,0.00320,1.00951
424,0.00486,1.01438
425,0.00453,1.01342
426,0.00496,1.01465
427,0.03098,1.08504
428,0.02616,1.07276
429,0.03498,1.09497
430,0.01460,1.04197
431,0.01864,1.05295
432,0.00545,1.01610
433,0.00415,1.01231
434,0.10363,1.23717
435,0.10792,1.24458
436,0.04245,1.11296
437,0.04206,1.11205
438,0.03695,1.09979
439,0.02831,1.07828
440,0.01500,1.04306
441,0.01281,1.03700
442,0.01138,1.03300
443,0.00830,1.02430
444,0.00877,1.02563
445,0.02542,1.07086
446,0.00633,1.01864
447,0.00592,1.01744
448,0.09591,1.22343
449,0.04496,1.11884
450,0.05869,1.14971
451,0.00926,1.02702
452,0.00931,1.02716
453,0.09975,1.23032
454,0.08902,1.21077
455,0.09976,1.23034
456,0.00287,1.00855
457,0.00426,1.01261
458,0.02292,1.06433
459,0.02270,1.06376
460,0.07233,1.17831
461,0.01980,1.05607
462,0.07943,1.19243
463,0.07526,1.18418
464,0.04511,1.11920
465,0.06191,1.15663
466,0.16811,1.33525
467,0.00647,1.01903
468,0.00901,1.02631
469,0.04358,1.11561
470,0.03221,1.08811
471,0.00583,1.01718
472,0.00542,1.01601
473,0.03655,1.09880
474,0.03660,1.09894
475,0.03409,1.09278
476,0.01285,1.03711
477,0.00991,1.02886
478,0.03182,1.08714
479,0.03218,1.08805
480,0.04359,1.11564
481,0.04295,1.11415
482,0.01340,1.03866
483,0.00923,1.02693
484,0.00659,1.01939
485,0.00568,1.01676
486,0.04818,1.12628
487,0.04084,1.10915
488,0.07539,1.18446
489,0.10536,1.24016
490,0.10285,1.23580
491,0.06368,1.16041
492,0.06850,1.17046
493,0.01029,1.02996
494,0.01391,1.04007
495,0.01947,1.05520
496,0.15086,1.31157
497,0.11594,1.25806
498,0.01791,1.05099
499,0.00459,1.01358
500,0.00446,1.01321
501,0.02905,1.08016
502,0.03651,1.09871
503,0.04525,1.11952
504,0.03727,1.10056
505,0.00094,1.00281
506,0.00199,1.00594
507,0.12955,1.27987
508,0.16339,1.32894
509,0.15712,1.32036
510,0.16152,1.32641
511,0.14611,1.30474
512,0.11366,1.25427
513,0.00827,1.02420
514,0.01036,1.03015
515,0.01794,1.05107
516,0.02368,1.06632
517,0.03945,1.10582
518,0.03543,1.09609
519,0.01603,1.04589
520,0.01589,1.04550
521,0.07958,1.19273
522,0.06805,1.16955
523,0.04439,1.11752
524,0.03056,1.08398
525,0.01283,1.03708
526,0.01529,1.04387
527,0.00708,1.02079
528,0.00693,1.02037
529,0.05569,1.14316
530,0.04175,1.11130
531,0.01867,1.05303
532,0.02035,1.05755
533,0.00751,1.02205
534,0.01057,1.03075
535,0.00728,1.02137
536,0.00497,1.01470
537,0.00450,1.01331
538,0.00287,1.00855
539,0.07001,1.17357
540,0.09338,1.21883
541,0.01095,1.03180
542,0.00790,1.02315
543,0.04141,1.11051
544,0.05308,1.13737
545,0.01633,1.04669
546,0.01638,1.04684
547,0.12588,1.27412
548,0.00750,1.02200
549,0.10813,1.24493
550,0.10360,1.23711
551,0.04538,1.11983
552,0.04621,1.12174
553,0.01421,1.04089
554,0.01327,1.03829
555,0.11376,1.25444
556,0.11254,1.25240
557,0.14346,1.30088
558,0.17458,1.34372
559,0.02896,1.07994
560,0.03144,1.08618
561,0.06838,1.17022
562,0.00793,1.02325
563,0.01019,1.02966
564,0.02747,1.07614
565,0.05597,1.14377
566,0.05153,1.13389
567,0.02235,1.06284
568,0.02883,1.07961
569,0.08405,1.20137
570,0.10968,1.24757
571,0.08703,1.20703
572,0.01318,1.03804
573,0.01060,1.03083
574,0.07580,1.18527
575,0.07144,1.17649
576,0.14217,1.29899
577,0.11057,1.24909
578,0.00967,1.02820
579,0.00644,1.01896
580,0.03799,1.10230
581,0.03640,1.09845
582,0.00568,1.01676
583,0.00513,1.01516
584,0.07493,1.18354
585,0.05616,1.14418
586,0.12848,1.27821
587,0.15675,1.31984
588,0.11567,1.25762
589,0.13808,1.29290
590,0.02565,1.07146
591,0.01882,1.05344
592,0.05797,1.14814
593,0.06143,1.15560
594,0.00958,1.02794
595,0.03427,1.09323
596,0.04665,1.12276
597,0.03568,1.09670
598,0.03430,1.09331
599,0.00402,1.01192
600,0.00550,1.01622
601,0.03787,1.10201
602,0.04171,1.11122
603,0.00631,1.01859
604,0.00809,1.02370
605,0.03038,1.08353
606,0.02343,1.06566
607,0.05609,1.14404
608,0.05278,1.13669
609,0.01798,1.05118
610,0.01832,1.05211
611,0.01256,1.03630
612,0.00927,1.02707
613,0.05201,1.13498
614,0.06800,1.16943
615,0.05389,1.13917
616,0.00580,1.01709
617,0.00704,1.02067
618,0.05365,1.13864
619,0.05269,1.13648
620,0.00879,1.02569
621,0.00878,1.02567
622,0.05258,1.13625
623,0.05339,1.13805
624,0.00685,1.02015
625,0.00973,1.02835
626,0.01231,1.03560
627,0.01231,1.03562
628,0.04823,1.12639
629,0.06354,1.16010
630,0.02718,1.07538
631,0.02071,1.05850
632,0.11120,1.25015
633,0.12633,1.27483
634,0.01219,1.03529
635,0.01200,1.03474
636,0.00525,1.01550
637,0.00742,1.02178
638,0.01921,1.05449
639,0.01672,1.04775
640,0.00270,1.00804
641,0.00296,1.00880
642,0.00980,1.02856
643,0.01268,1.03665
644,0.04762,1.12500
645,0.03597,1.09740
646,0.03756,1.10127
647,0.04564,1.12042
648,0.11497,1.25646
649,0.11497,1.25645
650,0.01964,1.05563
651,0.01877,1.05331
652,0.02102,1.05933
653,0.03043,1.08366
654,0.04921,1.12863
655,0.06824,1.16992
656,0.05587,1.14356
657,0.05853,1.14936
658,0.04166,1.11109
659,0.03427,1.09323
660,0.07892,1.19144
661,0.09891,1.22883
662,0.01112,1.03228
663,0.00891,1.02602
664,0.03178,1.08704
665,0.02759,1.07645
666,0.01505,1.04320
667,0.02172,1.06117
668,0.05148,1.13378
669,0.00755,1.02216
670,0.00888,1.02595
671,0.11853,1.26231
672,0.12491,1.27258
673,0.00801,1.02346
674,0.00645,1.01898
675,0.02205,1.06204
676,0.02398,1.06711
677,0.04726,1.12418
678,0.05695,1.14593
679,0.01648,1.04712
680,0.01160,1.03363
681,0.00707,1.02076
682,0.00705,1.02070
683,0.04283,1.11385
684,0.03366,1.09172
685,0.01456,1.04186
686,0.01173,1.03400
687,0.00279,1.00830
688,0.00286,1.00850
689,0.04845,1.12689
690,0.03337,1.09101
691,0.06329,1.15956
692,0.08560,1.20433
693,0.01334,1.03847
694,0.01411,1.04062
695,0.01736,1.04950
696,0.01426,1.04102
697,0.01223,1.03538
698,0.03464,1.09414
699,0.03934,1.10556
700,0.01232,1.03564
701,0.05297,1.13712
702,0.04355,1.11555
703,0.12484,1.27247
704,0.01238,1.03582
705,0.01370,1.03947
706,0.00321,1.00953
707,0.00384,1.01137
708,0.09967,1.23018
709,0.13336,1.28576
710,0.00922,1.02691
711,0.00656,1.01931
712,0.05235,1.13574
713,0.05506,1.14177
714,0.02477,1.06916
715,0.03391,1.09234
716,0.11879,1.26273
717,0.10394,1.23769
718,0.00415,1.01229
719,0.00553,1.01631
720,0.09470,1.22125
721,0.09184,1.21601
722,0.03365,1.09169
723,0.03382,1.09211
724,0.06659,1.16651
725,0.03245,1.08871
726,0.02490,1.06950
727,0.01758,1.05009
728,0.01525,1.04375
729,0.09217,1.21662
730,0.09280,1.21778
731,0.06374,1.16053
732,0.07544,1.18456
733,0.13840,1.29339
734,0.12807,1.27757
735,0.04955,1.12941
736,0.03140,1.08609
737,0.04084,1.10914
738,0.09237,1.21698
739,0.12022,1.26507
740,0.01749,1.04986
741,0.01492,1.04285
742,0.13728,1.29170
743,0.17080,1.33880
744,0.00652,1.01917
745,0.00891,1.02604
746,0.02377,1.06656
747,0.01843,1.05240
748,0.05899,1.15035
749,0.06788,1.16918
750,0.01708,1.04874
751,0.02508,1.06998
752,0.06959,1.17272
753,0.09103,1.21450
754,0.01003,1.02920
755,0.01009,1.02939
756,0.01733,1.04941
757,0.01570,1.04499
758,0.06181,1.15643
759,0.05874,1.14981
760,0.08009,1.19373
761,0.08027,1.19408
762,0.14890,1.30878
763,0.11477,1.25612
764,0.11992,1.26458
765,0.17299,1.34166
766,0.05160,1.13406
767,0.06154,1.15584
768,0.03874,1.10411
769,0.06404,1.16116
770,0.15166,1.31271
771,0.02797,1.07741
772,0.02660,1.07389
773,0.00413,1.01224
774,0.00631,1.01859
775,0.03341,1.09109
776,0.02367,1.06630
777,0.05684,1.14567
778,0.05186,1.13464
779,0.00530,1.01565
780,0.00622,1.01831
781,0.05319,1.13760
782,0.06084,1.15435
783,0.15774,1.32122
784,0.15068,1.31131
785,0.01417,1.04078
786,0.01949,1.05525
787,0.06631,1.16592
788,0.06992,1.17338
789,0.00391,1.01158
790,0.00396,1.01173
791,0.08100,1.19549
792,0.06941,1.17234
793,0.01464,1.04207
794,0.02473,1.06907
795,0.01510,1.04332
796,0.02877,1.07945
797,0.02539,1.07079
798,0.01693,1.04833
799,0.04543,1.11993
800,0.06198,1.15678
801,0.06027,1.15312
802,0.06998,1.17351
803,0.01988,1.05629
804,0.01459,1.04194
805,0.05840,1.14909
806,0.06398,1.16103
807,0.09529,1.22232
808,0.12818,1.27774
809,0.06391,1.16088
810,0.05696,1.14594
811,0.05866,1.14964
812,0.04501,1.11897
813,0.04741,1.12452
814,0.04569,1.12055
815,0.11093,1.24970
816,0.13408,1.28686
817,0.03178,1.08704
818,0.03462,1.09408
819,0.00132,1.00395
820,0.00196,1.00585
821,0.00198,1.00590
822,0.00335,1.00996
823,0.00396,1.01174
824,0.00357,1.01058
825,0.16726,1.33412
826,0.13728,1.29171
827,0.07907,1.19172
828,0.07723,1.18810
829,0.00719,1.02110
830,0.00581,1.01713
831,0.03066,1.08423
832,0.03145,1.08621
833,0.02991,1.08235
834,0.02960,1.08156
835,0.02586,1.07199
836,0.02503,1.06984
837,0.00661,1.01944
838,0.00484,1.01430
839,0.04839,1.12677
840,0.04281,1.11382
841,0.02103,1.05935
842,0.02734,1.07579
843,0.06307,1.15911
844,0.05188,1.13468
845,0.01452,1.04174
846,0.01766,1.05030
847,0.14318,1.30048
848,0.11934,1.26364
849,0.04757,1.12489
850,0.04745,1.12462
851,0.01149,1.03333
852,0.01583,1.04532
853,0.10415,1.23807
854,0.08060,1.19472
855,0.00644,1.01896
856,0.00789,1.02313
857,0.03117,1.08552
858,0.02388,1.06685
859,0.03947,1.10588
860,0.04540,1.11986
861,0.15449,1.31669
862,0.13050,1.28135
863,0.00309,1.00920
864,0.00550,1.01623
865,0.01109,1.03221
866,0.00791,1.02319
867,0.13687,1.29108
868,0.13273,1.28479
869,0.05432,1.14012
870,0.06972,1.17297
871,0.00604,1.01781
872,0.00514,1.01519
873,0.01224,1.03541
874,0.01565,1.04485
875,0.01110,1.03223
876,0.01908,1.05415
877,0.00662,1.01949
878,0.08292,1.19921
879,0.08291,1.19919
880,0.06720,1.16778
881,0.08567,1.20445
882,0.01031,1.02999
883,0.00829,1.02426
884,0.05853,1.14935
885,0.04466,1.11814
886,0.05915,1.15071
887,0.04334,1.11505
888,0.05222,1.13543
889,0.05931,1.15104
890,0.07349,1.18065
891,0.06715,1.16767
892,0.13023,1.28093
893,0.17000,1.33775
894,0.14066,1.29676
895,0.11085,1.24956
896,0.07636,1.18637
897,0.05741,1.14692
898,0.00606,1.01784
899,0.01147,1.03327
900,0.08030,1.19413
901,0.08075,1.19501
902,0.01908,1.05414
903,0.02348,1.06581
904,0.10765,1.24411
905,0.13504,1.28832
906,0.02193,1.06172
907,0.01392,1.04009
908,0.10770,1.24420
909,0.13896,1.29422
910,0.00501,1.01480
911,0.00605,1.01783
912,0.03311,1.09035
913,0.02976,1.08196
914,0.06527,1.16374
915,0.07852,1.19064
916,0.07688,1.18742
917,0.07128,1.17617
918,0.01027,1.02990
919,0.01422,1.04092
920,0.00452,1.01338
921,0.00549,1.01621
922,0.11939,1.26371
923,0.10078,1.23215
924,0.00464,1.01373
925,0.00455,1.01346
926,0.05537,1.14245
927,0.05572,1.14321
928,0.04856,1.12716
929,0.04814,1.12619
930,0.02401,1.06720
931,0.03209,1.08780
932,0.01303,1.03762
933,0.01369,1.03946
934,0.00261,1.00776
935,0.00194,1.00578
936,0.00656,1.01930
937,0.00596,1.01757
938,0.01131,1.03283
939,0.01034,1.03009
940,0.00605,1.01782
941,0.00566,1.01669
942,0.03771,1.10163
943,0.04173,1.11125
944,0.16144,1.32628
945,0.12723,1.27625
946,0.08032,1.19417
947,0.01630,1.04662
948,0.02270,1.06377
949,0.07980,1.19316
950,0.08036,1.19425
951,0.00310,1.00922
952,0.00219,1.00654
953,0.01867,1.05304
954,0.01480,1.04252
955,0.02123,1.05988
956,0.02506,1.06994
957,0.02104,1.05936
958,0.02968,1.08176
959,0.05395,1.13930
960,0.05850,1.14929
961,0.02871,1.07929
962,0.03683,1.09949
963,0.01695,1.04838
964,0.03744,1.10098
965,0.03311,1.09034
966,0.03748,1.10106
967,0.03548,1.09619
968,0.01636,1.04679
969,0.01110,1.03223
970,0.04119,1.10998
971,0.03101,1.08510
972,0.09714,1.22565
973,0.09250,1.21722
974,0.14220,1.29904
975,0.10058,1.23179
976,0.00864,1.02525
977,0.00444,1.01313
978,0.04026,1.10776
979,0.05491,1.14143
980,0.04177,1.11135
981,0.04187,1.11158
982,0.00349,1.01036
983,0.00457,1.01354
984,0.12761,1.27685
985,0.11546,1.25727
986,0.00399,1.01183
987,0.00613,1.01806
988,0.04380,1.11614
989,0.03220,1.08808
990,0.04120,1.10999
991,0.03262,1.08913
992,0.00645,1.01900
993,0.00890,1.02600
994,0.03869,1.10399
995,0.03409,1.09278
996,0.08526,1.20368
997,0.08956,1.21178
998,0.07754,1.18871
999,0.05687,1.14574
1000,0.03996,1.10706
1001,0.02893,1.07987
1002,0.03343,1.09116
1003,0.03930,1.10548
1004,0.01075,1.03124
1005,0.00860,1.02516
1006,0.00363,1.01077
1007,0.00340,1.01010
1008,0.01396,1.04020
1009,0.00950,1.02771
1010,0.02224,1.06254
1011,0.03136,1.08598
1012,0.03884,1.10436
1013,0.12030,1.26519
1014,0.15736,1.32069
1015,0.00710,1.02086
1016,0.00578,1.01705
1017,0.13089,1.28195
1018,0.12390,1.27097
1019,0.12438,1.27174
1020,0.11903,1.26313
1021,0.01486,1.04267
1022,0.01800,1.05124
1023,0.06232,1.15752
1024,0.07844,1.19050
1025,0.04567,1.12049
1026,0.05123,1.13321
1027,0.02464,1.06883
1028,0.02065,1.05835
1029,0.00493,1.01457
1030,0.04813,1.12618
1031,0.04814,1.12618
1032,0.04519,1.11938
1033,0.03658,1.09889
1034,0.00160,1.00477
1035,0.00175,1.00522
1036,0.03083,1.08467
1037,0.02261,1.06352
1038,0.00437,1.01293
1039,0.00436,1.01292
1040,0.01256,1.03631
1041,0.00890,1.02601
1042,0.02342,1.06564
1043,0.02108,1.05947
1044,0.10259,1.23533
1045,0.09997,1.23072
1046,0.02300,1.06454
1047,0.02045,1.05781
1048,0.01066,1.03100
1049,0.01449,1.04167
1050,0.02201,1.06195
1051,0.01632,1.04667
1052,0.17079,1.33879
1053,0.17070,1.33867
1054,0.01031,1.03001
1055,0.01760,1.05015
1056,0.01548,1.04437
1057,0.01173,1.03400
1058,0.03862,1.10383
1059,0.02965,1.08169
1060,0.02973,1.08189
1061,0.02557,1.07125
1062,0.02000,1.05659
1063,0.01760,1.05014
1064,0.02151,1.06061
1065,0.02121,1.05982
1066,0.00252,1.00752
1067,0.00246,1.00732
1068,0.06351,1.16003
1069,0.06774,1.16890
1070,0.06358,1.16020
1071,0.06560,1.16445
1072,0.03607,1.09764
1073,0.05176,1.13441
1074,0.05080,1.13226
1075,0.01974,1.05591
1076,0.02440,1.06821
1077,0.02189,1.06161
1078,0.02388,1.06686
1079,0.10283,1.23577
1080,0.08377,1.20084
1081,0.13208,1.28378
1082,0.12644,1.27500
1083,0.00303,1.00900
1084,0.00381,1.01130
1085,0.02804,1.07758
1086,0.03439,1.09353
1087,0.00929,1.02710
1088,0.01249,1.03611
1089,0.02250,1.06322
1090,0.02286,1.06418
1091,0.08506,1.20331
1092,0.12953,1.27985
1093,0.04235,1.11274
1094,0.03366,1.09173
1095,0.02839,1.07848
1096,0.03784,1.10194
1097,0.01927,1.05464
1098,0.01965,1.05567
1099,0.02573,1.07166
1100,0.01809,1.05149
1101,0.10300,1.23606
1102,0.11984,1.26445
1103,0.02441,1.06824
1104,0.02112,1.05957
1105,0.01281,1.03700
1106,0.01684,1.04809
1107,0.00738,1.02167
1108,0.00493,1.01457
1109,0.02911,1.08032
1110,0.03833,1.10312
1111,0.03609,1.09769
1112,0.04772,1.12524
1113,0.03031,1.08336
1114,0.02008,1.05683
1115,0.12582,1.27403
1116,0.13198,1.28364
1117,0.07517,1.18400
1118,0.10002,1.23080
1119,0.04099,1.10950
1120,0.03337,1.09100
1121,0.01256,1.03631
1122,0.01548,1.04438
1123,0.06381,1.16067
1124,0.08862,1.21002
1125,0.08402,1.20131
1126,0.00682,1.02006
1127,0.00873,1.02553
1128,0.01223,1.03540
1129,0.01707,1.04871
1130,0.08374,1.20078
1131,0.09394,1.21985
1132,0.02957,1.08148
1133,0.04144,1.11057
1134,0.00486,1.01438
1135,0.00721,1.02119
1136,0.04058,1.10853
1137,0.10125,1.23297
1138,0.09604,1.22367
1139,0.11481,1.25619
1140,0.09410,1.22016
1141,0.07577,1.18520
1142,0.04288,1.11398
1143,0.16915,1.33663
1144,0.12762,1.27686
1145,0.09663,1.22475
1146,0.00691,1.02030
1147,0.00540,1.01594
1148,0.08287,1.19910
1149,0.08265,1.19868
1150,0.02303,1.06462
1151,0.02008,1.05681
