56
1.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
9.458172417006346e-01 3.246994692046835e-01 0.000000000000000e+00
7.891405093963936e-01 6.142127126896678e-01 0.000000000000000e+00
5.469481581224269e-01 8.371664782625285e-01 0.000000000000000e+00
2.454854871407992e-01 9.694002659393304e-01 0.000000000000000e+00
-8.257934547233249e-02 9.965844930066698e-01 0.000000000000000e+00
-4.016954246529693e-01 9.157733266550575e-01 0.000000000000000e+00
-6.772815716257409e-01 7.357239106731317e-01 0.000000000000000e+00
-8.794737512064890e-01 4.759473930370737e-01 0.000000000000000e+00
-9.863613034027223e-01 1.645945902807340e-01 0.000000000000000e+00
-9.863613034027223e-01 -1.645945902807342e-01 0.000000000000000e+00
-8.794737512064891e-01 -4.759473930370735e-01 0.000000000000000e+00
-6.772815716257414e-01 -7.357239106731313e-01 0.000000000000000e+00
-4.016954246529699e-01 -9.157733266550573e-01 0.000000000000000e+00
-8.257934547233274e-02 -9.965844930066698e-01 0.000000000000000e+00
2.454854871407988e-01 -9.694002659393305e-01 0.000000000000000e+00
5.469481581224266e-01 -8.371664782625288e-01 0.000000000000000e+00
7.891405093963934e-01 -6.142127126896680e-01 0.000000000000000e+00
9.458172417006346e-01 -3.246994692046837e-01 0.000000000000000e+00
-5.453923003480190e-01 5.570720769784899e-01 0.000000000000000e+00
6.063196901066239e-01 -4.764128097728073e-01 0.000000000000000e+00
7.398808426335814e-01 -2.197060190364851e-01 0.000000000000000e+00
5.287156530237346e-01 -2.452739355354917e-01 0.000000000000000e+00
7.199534012004932e-01 2.557682564267237e-01 0.000000000000000e+00
3.472453084235255e-01 -3.969598552019818e-01 0.000000000000000e+00
3.374502071342127e-01 -6.751437327796203e-01 0.000000000000000e+00
-6.301320558600225e-01 -4.246396408779626e-01 0.000000000000000e+00
-7.428188957882030e-01 -2.432914007153369e-01 0.000000000000000e+00
1.299910951248041e-01 6.674153057045442e-01 0.000000000000000e+00
3.298614731838959e-01 6.984625047562683e-01 0.000000000000000e+00
-7.882638272694521e-02 7.746364583834301e-01 0.000000000000000e+00
-2.897292012562830e-01 6.157556675978101e-01 0.000000000000000e+00
-7.345043337580910e-01 -2.486097316446004e-03 0.000000000000000e+00
-6.670226505057452e-01 2.700535236978442e-01 0.000000000000000e+00
-3.246130989847033e-01 -7.599916712588426e-01 0.000000000000000e+00
-9.683974165961963e-02 -6.626449366986916e-01 0.000000000000000e+00
4.815933018224266e-01 5.965245365792118e-01 0.000000000000000e+00
5.316384436381785e-01 4.121177481552553e-01 0.000000000000000e+00
6.239356531349187e-01 -2.144910004896474e-02 0.000000000000000e+00
1.126515642475514e-01 -7.738236190836619e-01 0.000000000000000e+00
-3.542231626166020e-01 -4.940293533381255e-01 0.000000000000000e+00
4.348015923644300e-01 1.776113941799498e-01 0.000000000000000e+00
3.261967708200234e-01 -1.118418936172195e-01 0.000000000000000e+00
-4.968628980630768e-01 -1.742061466261459e-01 0.000000000000000e+00
1.346356233877824e-01 -5.449576977000453e-01 0.000000000000000e+00
-7.233540485360936e-02 4.983795885791624e-01 0.000000000000000e+00
-5.060077206192776e-01 9.227629181430327e-02 0.000000000000000e+00
1.483232694333617e-01 -3.169470857120137e-01 0.000000000000000e+00
-6.645228264027578e-02 -3.944202626535249e-01 0.000000000000000e+00
-2.380845539418477e-01 -2.287350448554467e-01 0.000000000000000e+00
2.452893237090225e-01 4.218059372957261e-01 0.000000000000000e+00
-3.503964936998722e-01 3.329168873929104e-01 0.000000000000000e+00
-2.765930203206682e-01 2.335164192424766e-02 0.000000000000000e+00
-4.633495185057319e-02 2.129110958438231e-01 0.000000000000000e+00
3.708593931384232e-03 -1.043711035836846e-01 0.000000000000000e+00
1.849032004321777e-01 1.107177198495792e-01 0.000000000000000e+00
91
33 44 47 0
47 44 53 0
37 3 4 0
38 37 51 0
38 51 42 0
34 52 20 0
54 46 52 0
54 56 51 0
17 26 16 0
26 45 40 0
55 56 54 0
55 48 43 0
24 39 1 0
24 38 42 0
30 37 4 0
30 29 51 0
31 6 7 0
31 29 5 0
34 9 10 0
34 47 52 0
47 53 52 0
35 41 13 0
41 35 36 0
43 48 25 0
43 42 56 0
40 15 16 0
15 40 36 0
23 25 21 0
25 45 26 0
52 32 20 0
32 52 46 0
23 22 39 0
22 19 1 0
50 44 41 0
20 32 7 0
28 27 44 0
28 11 12 0
49 48 55 0
49 36 45 0
51 37 30 0
51 56 42 0
42 39 24 0
55 43 56 0
54 51 46 0
55 54 53 0
53 50 55 0
41 36 49 0
48 45 25 0
49 55 50 0
53 44 50 0
46 29 31 0
52 53 54 0
29 46 51 0
41 49 50 0
45 48 49 0
39 43 23 0
47 34 33 0
3 38 24 0
25 23 43 0
21 18 19 0
46 31 32 0
27 41 44 0
27 12 13 0
45 36 40 0
15 35 14 0
17 18 21 0
13 14 35 0
33 28 44 0
4 5 30 0
39 42 43 0
1 2 24 0
13 41 27 0
40 16 26 0
1 39 22 0
34 20 9 0
37 38 3 0
5 6 31 0
35 15 36 0
34 10 33 0
9 20 8 0
33 11 28 0
11 33 10 0
31 7 32 0
5 29 30 0
12 27 28 0
26 17 21 0
21 25 26 0
22 21 19 0
3 24 2 0
21 22 23 0
20 7 8 0
