,W,Psi
0,0.0,0.0
1,-0.003514881998154586,0.0
2,-0.005898945573203029,0.0
3,-0.012236000946703096,0.0
4,-0.013129248840129035,0.0
5,-0.0182781437678301,0.0
6,-0.025029921332023086,0.0
7,-0.023534611362235013,0.0
8,-0.021389399723139718,0.0
9,-0.02903254595114974,0.0
10,-0.032323404202630086,0.0
11,-0.033399901151578384,0.0
12,-0.039645958445345825,0.0
13,-0.037599057080238085,0.0
14,-0.03334213272849877,0.0
15,-0.03264365261922783,0.0
16,-0.04015916080896526,0.0
17,-0.04499668946449312,0.0
18,-0.04609462122690824,0.0
19,-0.04602481210438973,0.0
20,-0.046443713363929155,0.0
21,-0.04316378868388379,0.0
22,-0.03523972080114231,0.0
23,-0.03873785187660199,0.0
24,-0.039415272544021746,0.0
25,-0.039208649676716986,0.0
26,-0.038235532006332194,0.0
27,-0.040730524913169974,0.0
28,-0.038268576710971586,0.0
29,-0.02487477144333375,0.0
30,-0.0285982235131128,0.0
31,-0.02415980626080895,0.0
32,-0.023974109562198354,0.0
33,-0.018232975266739664,0.0
34,-0.018949387732898552,0.0
35,-0.014900395461723118,0.0
36,-0.009187610719129428,0.0
37,-0.008202451017073441,0.0
38,-0.003960198428562793,0.0
39,0.0,0.0
40,-0.0039546111730378595,0.0
41,-0.008505194918714133,0.0
42,-0.009742568067939283,0.0
43,-0.01512105218005568,0.0
44,-0.01909625338319166,0.0
45,-0.018955786462772666,0.0
46,-0.01784512406384616,0.0
47,-0.025267258176692304,0.0
48,-0.03357918552348804,0.0
49,-0.03268273596415279,0.0
50,-0.04119546412983889,0.0
51,-0.04326202361320727,0.0
52,-0.038096284870072314,0.0
53,-0.04560510666581448,0.0
54,-0.04213517307741929,0.0
55,-0.0479776869242614,0.0
56,-0.04413164549001403,0.0
57,-0.05600591131233263,0.0
58,-0.04655978445431212,0.0
59,-0.04412958821767212,0.0
60,-0.03506714316985961,0.0
61,-0.037673375402022355,0.0
62,-0.04035875972235075,0.0
63,-0.04145147439142672,0.0
64,-0.038168145395777564,0.0
65,-0.03227608065610318,0.0
66,-0.0365664903687507,0.0
67,-0.030932591440956,0.0
68,-0.03469335007107685,0.0
69,-0.02906689606987001,0.0
70,-0.03690053692797739,0.0
71,-0.022010197844234684,0.0
72,-0.023176434549402235,0.0
73,-0.015796495730207305,0.0
74,-0.014183033451073714,0.0
75,-0.012222063371023044,0.0
76,-0.007388169654803342,0.0
77,-0.004196179873225713,0.0
78,0.0,0.0
79,2824.245815922646,0.0
80,3118.536705015137,0.0
81,2403.4644744065686,0.0
82,3425.2674804385997,0.0
83,3172.205542021662,0.0
84,2813.2782304006737,0.0
85,2230.0488616578823,0.0
86,3321.812640519928,0.0
87,3166.9646240232028,0.0
88,2660.1394239471088,0.0
89,2271.816631509389,0.0
90,2537.777298353662,0.0
91,2997.966869435371,0.0
92,3059.0158769711707,0.0
93,2677.3159587706014,0.0
94,2916.135069482256,0.0
95,2714.9677086524384,0.0
96,2135.6203594923118,0.0
97,2399.3419929231477,0.0
98,2991.615002366579,0.0
99,2742.1734385215655,0.0
100,2717.624199553749,0.0
101,3249.1511726543076,0.0
102,2642.5897665045923,0.0
103,3415.5809148216113,0.0
104,3118.983524326908,0.0
105,2686.2024247248532,0.0
106,3139.630308045622,0.0
107,2277.6487523736932,0.0
108,2861.0778021631877,0.0
109,3211.709752314731,0.0
110,3225.442639047659,0.0
111,2584.5645818587554,0.0
112,2843.596464001481,0.0
113,2522.2798266737755,0.0
114,2887.0102957234712,0.0
115,2220.474525690609,0.0
116,2602.014437308539,0.0
117,0.0,0.0
118,-0.004448515795116589,0.0
119,-0.007789619021625496,0.0
120,-0.01058286340020892,0.0
121,-0.013031661974418674,0.0
122,-0.018465908088262005,0.0
123,-0.017862564909502783,0.0
124,-0.01960836116427785,0.0
125,-0.021720218490571153,0.0
126,-0.03051858785758469,0.0
127,-0.030875355498694433,0.0
128,-0.03459403907372105,0.0
129,-0.031133175409298025,0.0
130,-0.03562141536904861,0.0
131,-0.044951375195954345,0.0
132,-0.039202603524944625,0.0
133,-0.04080236284174409,0.0
134,-0.05117400164988341,0.0
135,-0.0416427769067491,0.0
136,-0.0498139218081014,0.0
137,-0.04685022178572506,0.0
138,-0.03369257328187693,0.0
139,-0.039837312140822104,0.0
140,-0.04018734132035738,0.0
141,-0.05287028914267254,0.0
142,-0.03927395252164123,0.0
143,-0.032690443903808125,0.0
144,-0.03525320182970253,0.0
145,-0.034211426987697094,0.0
146,-0.028883114221448392,0.0
147,-0.02652509834594568,0.0
148,-0.029919836659331015,0.0
149,-0.02323888627087357,0.0
150,-0.020694219584773802,0.0
151,-0.018552212453954223,0.0
152,-0.014563422555277598,0.0
153,-0.009874261142088944,0.0
154,-0.006454404804147222,0.0
155,-0.0038932427640362695,0.0
156,0.0,7.637104319138495e-06
157,-0.001569450697806693,3.527430779218499e-06
158,0.0,6.290299914438438e-06
159,0.0,5.893862244004489e-06
160,-0.0018637818557776587,2.4638970415912663e-06
161,0.0,4.300200242505933e-06
162,0.0,2.2805193477533232e-05
163,0.0,1.776067343299705e-05
164,0.0,1.9492818651985468e-05
165,0.0,2.7561853383381355e-05
166,0.0,2.1550248375767648e-05
167,0.0,2.4590842575725655e-05
168,-0.0032103653874352984,3.85214037376366e-06
169,0.0,7.394186101054906e-06
170,-0.003284442427121523,3.328333825076384e-06
171,-0.00039297441112001887,5.36046611301463e-06
172,0.0,1.0849365179058732e-05
173,0.0,2.984827615092001e-05
174,0.0,2.3461968609886747e-05
175,0.0,7.75506847348185e-06
176,-0.00030595865853401774,2.6114052963797916e-06
177,0.0,5.091884778446436e-06
178,0.0,3.2488383380074785e-06
179,0.0,3.425400317609622e-06
180,-0.0014640342507428923,1.5197010415109338e-06
181,0.0,2.87493342115822e-06
182,-0.0020059646281541596,1.7702785317383175e-06
183,-0.004920034356386418,5.414348518449807e-06
184,-0.0062081102679886506,4.335503663904434e-06
185,0.0,1.1020438299135035e-05
186,-0.003926572205096811,5.8870632552722035e-06
187,-0.002987311161879594,4.409863811867435e-06
188,0.0,8.464139131806215e-06
189,-0.004170775669695615,4.089982421477266e-06
190,0.0,9.50021074041736e-06
191,0.0,5.317286304381785e-06
192,0.0,4.2939316290089726e-06
193,0.0,2.6114212062671416e-06
194,0.0,2.94891021962117e-06
195,0.0,3.0595015835229772e-06
196,0.0,3.6743536447183533e-06
197,277.78279248173885,0.017755781509612826
198,0.0,3.664977609565563e-06
199,0.0,5.06972276614845e-06
200,0.0,7.3031032401777265e-06
201,0.0,7.80514206092272e-06
202,0.0,2.478520167612553e-06
203,0.0,2.9316280272474104e-06
204,-0.00028526787676618425,7.602931706574542e-06
205,-0.0021685260871854174,3.6158118165867328e-06
206,0.0,7.0928734701180146e-06
207,-0.0009243236173959456,6.569405590406156e-06
208,-0.004036419672731761,4.698107743176122e-06
209,0.0,9.950703438310657e-06
210,0.0,1.2009766521983461e-05
211,-0.005253436066161092,4.7142605080847e-06
212,-0.0016517292841351893,7.022135917855189e-06
213,-0.0005759311532340841,5.916862000094928e-07
214,-0.0008268032256613186,1.229483028004292e-06
215,-0.0036004842693613003,4.9244802004851705e-06
216,0.0,1.0547433329634886e-05
217,-0.0007577603131461013,7.3171233285412605e-06
218,-0.003777155055786368,4.412109950863403e-06
219,0.0,8.89684550318577e-06
220,0.0,8.554119759474943e-06
221,-0.004008589920802801,4.154517590663437e-06
222,-0.0029131664986924597,4.6729039912133875e-06
223,-0.003917988231663096,6.175610282109141e-06
224,-0.005250184811216983,5.012025987981091e-06
225,-0.0011130849669741363,3.507731916597241e-06
226,0.0,6.148577967194974e-06
227,-0.003336561463535821,2.505686032045926e-06
228,-0.00213678247253685,2.7375833592309708e-06
229,0.0,6.26533568983528e-06
230,0.0,4.018686579800372e-06
231,-0.002379336972704067,2.12443462049128e-06
232,-0.0008318352907273945,1.2418270891139802e-06
233,0.0,1.4174642206416116e-06
234,-0.0009252614714598401,5.349451709124999e-07
235,0.0,1.1846814453947955e-05
236,-0.0016238490453436693,7.201989047448415e-06
237,-0.0020805490781128097,1.7966193558126518e-06
238,0.0,1.3296016268225998e-05
239,-0.002779837849185364,7.017467957217773e-06
240,-0.0015923112052234137,8.101246957495827e-06
241,0.0,1.0166276809001418e-05
242,0.0,1.4544520337225498e-05
243,0.0,1.1664288952982222e-05
244,-0.007030460885139653,3.977094303656781e-06
245,-0.001636569121458877,6.145967059692607e-06
246,-0.00417082935684985,4.609796516327151e-06
247,0.0,1.0121786077531511e-05
248,0.0,1.254997346773602e-05
249,0.0,6.567747368794293e-06
250,0.0,5.393862705111714e-06
251,0.0,1.5346057459961795e-05
252,0.0,1.357328202842963e-05
253,0.0,1.990527657415701e-05
254,0.0,1.0051089104367537e-05
255,0.0,1.7259094762208922e-05
256,0.0,1.3595931402032423e-05
257,0.0,1.5284384706828142e-05
258,0.0,2.0938559451989748e-05
259,0.0,1.399111777409596e-05
260,0.0,1.5890612401846456e-05
261,0.0,9.144432788099869e-06
262,0.0,1.0042414107601481e-05
263,-0.0032685436129493445,3.328374655828639e-06
264,0.0,9.690132708821968e-06
265,0.0,1.3781292823559858e-05
266,0.0,1.259185728117655e-05
267,0.0,1.2922882166261158e-05
268,0.0,1.803616094339375e-05
269,0.0,1.5943381341084937e-05
270,0.0,9.476198157882097e-06
271,0.0,4.918162769522984e-06
272,0.0,7.492470103012035e-06
273,-0.001479443343632539,1.3988775759506026e-06
274,-0.0004057974681385115,6.380324728615076e-07
275,-0.00018660335420395463,1.4145580751596298e-06
276,0.0,1.5402382080619634e-06
277,0.0,1.90512114851386e-05
278,0.0,1.6098078388240574e-05
279,0.0,1.4910522749855668e-05
280,0.0,1.0061364677949299e-05
281,33.064543545696715,0.007346167366265896
282,0.0,1.1874558080672926e-05
283,0.0,7.553557315137626e-06
284,0.0,9.560632036973809e-06
285,0.0,1.6814117667238707e-05
286,0.0,1.3176877421819014e-05
287,0.0,1.3385304778585576e-05
288,0.0,1.284533391384157e-05
289,0.0,1.457175813348583e-05
290,0.0,2.5013238077191377e-05
291,0.0,2.1241093885825304e-05
292,0.0,3.112714033282832e-05
293,0.0,3.0313950853992693e-05
294,0.0,2.9572517321887538e-05
295,0.0,2.5699240155760993e-05
296,0.0,2.181240211117851e-05
297,-0.005160450373904615,4.1532408278733506e-06
298,0.0,2.6124628905734903e-05
299,0.0,2.434282542330611e-05
300,0.0,1.969256046216904e-05
301,0.0,2.4197992151606666e-05
302,0.0,2.815192776002505e-05
303,0.0,2.1211522723235388e-05
304,0.0,2.4375472928916057e-05
305,0.0,1.7574074846691824e-05
306,0.0,1.6569924325489863e-05
307,0.0,1.6715959031129154e-05
308,0.0,1.694971977681437e-05
309,0.0,1.951862355320527e-05
310,0.0,2.2072107846804778e-05
311,0.0,2.465116089403194e-05
312,0.0,2.7585436018520877e-05
313,0.0,2.979303033720274e-05
314,0.0,1.4765729173947095e-05
315,0.0,1.5112161477261426e-05
316,0.0,1.237264215155978e-05
317,0.0,1.8659717160829243e-05
318,0.0,2.2258579299720894e-05
319,0.0,1.3309777168622225e-05
320,0.0,1.2078672967809468e-05
321,0.0,1.6596682562358114e-05
322,0.0,1.1941984884082366e-05
323,0.0,1.2349463402206022e-05
324,0.0,2.9816536978615213e-05
325,0.0,3.0036766453138866e-05
326,0.0,2.6455675978844243e-05
327,0.0,2.978367959878701e-05
328,0.0,3.330996301119695e-05
329,0.0,1.853173601881984e-05
330,0.0,9.43056844159247e-06
331,0.0,1.3388025736614636e-05
332,0.0,1.1160117491314644e-05
333,0.0,1.3280213451933071e-05
334,0.0,1.666983923250441e-05
