,W,Psi
0,0.0,0.0
1,0.1335513695718646,0.0
2,0.6354767218383846,0.0
3,1.3403671107774509,0.0
4,2.1969494800653755,0.0
5,3.005751947480043,0.0
6,3.740651233862744,0.0
7,4.113521238646126,0.0
8,3.979874519141121,0.0
9,4.036407941318139,0.0
10,3.334726274700227,0.0
11,2.062544854811143,0.0
12,0.886200528883952,0.0
13,-1.1315801327103854,0.0
14,-3.331674246454206,0.0
15,-5.689997275752752,0.0
16,-7.097976505095649,0.0
17,-8.398434292270931,0.0
18,-9.400571594673384,0.0
19,-9.915119653612098,0.0
20,-10.065141802860076,0.0
21,-10.043823904089102,0.0
22,-9.82323005234891,0.0
23,-8.380750767294082,0.0
24,-7.115395161682878,0.0
25,-6.058323624857467,0.0
26,-4.432613965828493,0.0
27,-3.2469357095580023,0.0
28,-2.2715481199261265,0.0
29,-2.0991270659469072,0.0
30,-0.8489414361035232,0.0
31,-0.28917857318940265,0.0
32,0.36522202484444055,0.0
33,0.49200092475389956,0.0
34,0.8136602262184331,0.0
35,0.797019363009084,0.0
36,0.5781254045197923,0.0
37,0.43874647919243537,0.0
38,0.17702718102423895,0.0
39,0.0,0.0
40,0.17921426735023802,0.0
41,0.4476988494264929,0.0
42,0.5751175604030294,0.0
43,0.7050694124626014,0.0
44,0.48263284470941153,0.0
45,-0.24251193786002034,0.0
46,-1.6095845717357755,0.0
47,-2.9666082537602874,0.0
48,-4.6806024738319945,0.0
49,-7.424645349161201,0.0
50,-9.985846561440084,0.0
51,-12.688125146572272,0.0
52,-16.157539698904152,0.0
53,-19.278036910397947,0.0
54,-21.203324769961604,0.0
55,-23.848930130331215,0.0
56,-25.690277929832966,0.0
57,-26.609498480501824,0.0
58,-26.740812882326946,0.0
59,-28.006193226814254,0.0
60,-27.591585665319478,0.0
61,-26.027940262183265,0.0
62,-23.807966639934186,0.0
63,-21.71840455589665,0.0
64,-19.982358380846932,0.0
65,-18.567469794545538,0.0
66,-15.519519796421338,0.0
67,-13.71398769069691,0.0
68,-10.893568990809836,0.0
69,-9.40490177118409,0.0
70,-6.593900078090718,0.0
71,-7.95999528538546,0.0
72,-7.2650897514546235,0.0
73,-9.676681746577692,0.0
74,-13.594256692627843,0.0
75,-23.138597742343,0.0
76,-40.28583529228736,0.0
77,-51.193537807233874,0.0
78,0.0,0.0
79,333.9970585753396,0.0
80,329.6073273719267,0.0
81,225.14620975383053,0.0
82,257.95266157066396,0.0
83,217.54356217339415,0.0
84,189.5040445669491,0.0
85,142.7411031997513,0.0
86,164.12561534821174,0.0
87,145.63372832464432,0.0
88,121.0261330794236,0.0
89,91.59461079388069,0.0
90,93.02309328246875,0.0
91,95.74366544261949,0.0
92,80.7923266044227,0.0
93,67.19923852884622,0.0
94,67.83692095474709,0.0
95,67.95838695074161,0.0
96,39.972953826072725,0.0
97,38.178146017692356,0.0
98,57.051152118109414,0.0
99,47.534665862055945,0.0
100,41.28042163476944,0.0
101,44.48023107408703,0.0
102,23.925049096912044,0.0
103,57.117920420779356,0.0
104,50.509936187741204,0.0
105,41.55615085479974,0.0
106,54.48302377233996,0.0
107,34.40122947336283,0.0
108,54.5202810083597,0.0
109,66.72862385269731,0.0
110,66.9912146876658,0.0
111,52.96209960775895,0.0
112,89.53699280363776,0.0
113,94.86465909108759,0.0
114,135.64426867282697,0.0
115,142.63424605559842,0.0
116,239.9237174658757,0.0
117,0.0,0.0
118,-173.51843399091646,0.0
119,-224.70000124080826,0.0
120,-208.90738352386927,0.0
121,-184.28912718369588,0.0
122,-182.14826935165573,0.0
123,-148.3221868852417,0.0
124,-131.98442744791294,0.0
125,-116.01639504604519,0.0
126,-105.64860564228144,0.0
127,-90.52482931509489,0.0
128,-82.44190436530197,0.0
129,-74.79534584205612,0.0
130,-65.03068966447674,0.0
131,-50.98597360287856,0.0
132,-44.81209297328165,0.0
133,-38.105814179505686,0.0
134,-29.757716908586076,0.0
135,-26.05995020058434,0.0
136,-17.072752200297685,0.0
137,-12.37668746150995,0.0
138,-12.267220293737498,0.0
139,-6.3605095305793045,0.0
140,-2.677489184729635,0.0
141,1.8412159841616875,0.0
142,0.9785288072136538,0.0
143,1.5643239274375458,0.0
144,3.131824626264689,0.0
145,3.6361398660217956,0.0
146,3.637676177875914,0.0
147,3.6663024924852285,0.0
148,3.893472718372803,0.0
149,3.5795832815731305,0.0
150,3.224829770793722,0.0
151,2.747550017393344,0.0
152,2.070609604659751,0.0
153,1.2766024805985923,0.0
154,0.5857899729666626,0.0
155,0.10975108124665285,0.0
156,15.147840098898723,0.04625935669057893
157,-66.35613267660048,0.013070977524329933
158,-23.56631087883897,0.029426838483414618
159,11.49001917319817,0.0400564108919917
160,-79.6230332393731,0.010648255751611707
161,9.998850989937644,0.03414817759658612
162,-11.215525486472927,0.0028961615881725232
163,-8.249847253166323,0.00037550027339738266
164,-8.094293410859304,0.0003564206806367685
165,-17.23295120280428,0.013720590270292262
166,-15.314923264980356,0.0056342651312912976
167,-15.095486805527711,0.007241742197381109
168,-77.56063615031064,0.004466541490838832
169,-43.075212477876626,0.021477639628173013
170,-82.84367777889724,0.005058819628892026
171,-56.55083155259888,0.015002286774428423
172,9.901532077462274,0.05099894519939645
173,-17.82092473493276,0.02191232624288007
174,-17.84165302484351,0.009642332145817013
175,39.73421738390026,0.06707386662835123
176,-9.780331374517978,0.023451641663632644
177,41.24483654781853,0.05237679704274034
178,47.129494111021664,0.041895651692418635
179,0.8071154885901044,-0.00042078424530585327
180,1.164448738141218,-9.037198115488013e-05
181,0.6587247422630589,-0.0003157298160300962
182,1.602482464331724,-0.00011251519820717603
183,-26.470399286961175,0.00045895028001011336
184,-20.97780337055256,3.3762439182522265e-05
185,-27.42917865296294,0.0039639915059778855
186,-19.872812981375652,0.00011219142031842138
187,-71.16038734603788,0.004409052093259061
188,-41.63606833597295,0.02185886006948299
189,-69.12449903138207,0.0031253951218149813
190,-39.89849476122561,0.02155866886911477
191,40.04066704609053,0.061998914081668244
192,42.051703595845744,0.05906755565436752
193,58.1150260605684,0.04324396063854137
194,43.55579762795066,0.0513525949616095
195,38.70991107259767,0.051486867317704424
196,37.361205717608996,0.05313582580816756
197,48.49558795107622,0.03194577278671325
198,0.4093535274449688,-0.0005201718093540629
199,0.20150330383445747,-0.0008850287691200334
200,-0.4556291058109936,-0.0015936836538561186
201,-0.48235813984572584,-0.0016616973183760347
202,0.5539671083358761,-0.00024301539246480638
203,0.5188339658746463,-0.00033002222846068604
204,-54.16670465514354,0.01013613523585244
205,-74.14587519281434,0.010155215224160151
206,-24.251820833984333,0.03035688688411295
207,-54.76082893020508,0.00517316014695756
208,-61.65293226567199,0.003296834839950002
209,-45.25535937045871,0.011214100553827416
210,-37.28385722892787,0.020735495490062157
211,-9.580908333055635,-0.00018745337127428326
212,-9.064827869041153,-2.5677812470097112e-05
213,0.4096547137059532,4.4613216973327825e-06
214,0.7074876670921493,-5.0073921889036524e-05
215,-0.8843030982436051,-0.0003184370481681151
216,-4.764245034204336,-0.00043433442649681663
217,-3.57252720209416,-0.0003897037003414499
218,0.34094630700341655,-0.0002769839195614492
219,-1.9742709558990699,-0.0006657389310439266
220,-2.535780010070212,-0.0005277476316883969
221,1.0940719144993336,-0.00027270096214308587
222,1.192157146838515,-0.0003547741959688722
223,-43.72812622068324,0.0022370022590121057
224,-37.98790806637347,0.0008904836958063718
225,1.927652629107273,-0.00028220831384600197
226,0.859386820536015,-0.0006944263599197155
227,2.4828532655491005,-0.000139217510636809
228,2.015753421847545,-0.00019766534775768067
229,0.6580069404641365,-0.0008604120604148456
230,0.962504040768984,-0.0005112571365960994
